Group,Species,Individual,proboscisLength,bodyLength,proboscisBodyRatio,wingLength,wingArea,aspectRatio,lightness,contrast,OBS,,,
Erebidae: Arctiinae,Agylla_sp_860,EcEs-Lep-13344,NA,7.41,NA,14.26,115.57,1.76,204,29,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00152,8.47,9.69,0.87,18.83,206.58,1.72,214,12,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00247,8.11,16.71,0.49,15.18,169.03,1.36,208,29,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00290,7.9,11.28,0.7,18.76,196.83,1.79,225,11,,,,
Erebidae: Arctiinae,Agylla_zucarina_gr_856,EcEs-Lep-00500,NA,13.7,NA,16.92,209.37,1.37,198,30,,,,
Erebidae: Arctiinae,Amastus_episcostosia_1229,EcEs-Lep-01042,26.32,31.98,0.82,41.26,858.31,1.98,66,77,,,,
Erebidae: Arctiinae,Amastus_episcostosia_1229,EcEs-Lep-01130,28.54,38.48,0.74,47.53,1012.73,2.23,73,66,,,,
Erebidae: Arctiinae,Amaxia_cf_lepida_913,EcEs-Lep-00284,7.15,14.58,0.49,16.53,129.94,2.1,144,66,,,,
Erebidae: Arctiinae,Amaxia_cf_lepida_913,EcEs-Lep-01118,6.74,15.86,0.42,19.32,192.6,1.94,120,48,,,,
Erebidae: Arctiinae,Amaxia_pandama_912,EcEs-Lep-00094,10.13,15.24,0.66,18.89,127.75,2.79,133,65,,,,
Erebidae: Arctiinae,Amaxia_pandama_912,EcEs-Lep-00618,10.5,15.54,0.68,18.45,142,2.4,101,66,,,,
Erebidae: Arctiinae,Amaxia_pardalis_1285,EcEs-Lep-00282,7.02,15.95,0.44,16.31,129.63,2.05,130,56,,,,
Erebidae: Arctiinae,Amaxia_sp_1354,EcEs-Lep-01168,8.31,11.03,0.75,14.9,95.5,2.32,132,58,PL: average from all measured Amaxias,,,
Erebidae: Arctiinae,Amaxia_sp_1354,EcEs-Lep-04287,8.31,9.73,0.85,0.01,0,0.15,104,60,PL: average from all measured Amaxias,,,
Erebidae: Arctiinae,Ammalo_helops_gr_1410,EcEs-Lep-04922,NA,34.68,NA,33.65,524.24,2.16,110,52,,,,
Erebidae: Arctiinae,Amphelarctia_priscilla_gr_1181,EcEs-Lep-00293,7.12,15.06,0.47,15.74,108.44,2.29,89,78,,,,
Erebidae: Arctiinae,Amphelarctia_priscilla_gr_1181,EcEs-Lep-01801,NA,13.43,NA,16.45,132.01,2.05,103,51,,,,
Erebidae: Arctiinae,Antona_sp_852,EcEs-Lep-00023,4.06,14.01,0.29,15.41,128.99,1.84,50,32,,,,
Erebidae: Arctiinae,Antona_sp_852,EcEs-Lep-00394,4.47,15.03,0.3,19.73,225,1.73,39,27,,,,
Erebidae: Arctiinae,Aptilosia_crocea_gr_866,EcEs-Lep-00131,7.5,10.47,0.72,13.57,113.77,1.62,172,32,,,,
Erebidae: Arctiinae,Aptilosia_crocea_gr_866,EcEs-Lep-00449,8.81,10.88,0.81,11.08,82.97,1.48,185,32,,,,
Erebidae: Arctiinae,Aptilosia_crocea_gr_866,EcEs-Lep-00451,9.11,9.89,0.92,13.12,108.43,1.59,172,37,,,,
Erebidae: Arctiinae,Apyre_separata_911,EcEs-Lep-00799,NA,15.59,NA,16.05,112.07,2.3,90,49,,,,
Erebidae: Arctiinae,Apyre_separata_911,EcEs-Lep-01802,NA,16.4,NA,0.09,0,18.79,106,50,,,,
Erebidae: Arctiinae,Araeomolis_cf_rhodographa_1079,EcEs-Lep-00028,8.33,12.49,0.67,13.9,79.33,2.44,140,64,,,,
Erebidae: Arctiinae,Araeomolis_cf_rhodographa_1079,EcEs-Lep-00222,8.76,11.14,0.79,13.6,74.51,2.48,158,74,,,,
Erebidae: Arctiinae,Araeomolis_cf_rhodographa_1079,EcEs-Lep-00289,8.95,13.2,0.68,14.48,88.22,2.38,121,70,,,,
Erebidae: Arctiinae,Araeomolis_cf_rhodographa_1079,EcEs-Lep-00316,8.55,11.98,0.71,13.9,81.33,2.37,132,66,,,,
Erebidae: Arctiinae,Araeomolis_cf_rhodographa_1079,EcEs-Lep-00379,7.04,12.54,0.56,16.22,109.13,2.41,113,67,,,,
