Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0389,Gesneriaceae,Besleria,cf._Besleria_sp._1,SubshrubOrShrub,10,33.5,9.5,Tubulate,Orange,Yellow,Zygomorphic,Ornithophil,Nectar,76
M0390,Melastomataceae,NA,NA,SubshrubOrShrub,10,8.6,7.9,Rotate,White,Yellow,Zygomorphic,Melittophil,NA,1
M0391,Acanthaceae,Mendoncia,Mendoncia_sp.,ScramblingOrEpyphticShrub,10,50.2,12,Tubulate,Red,NA,Zygomorphic,Ornithophil,Nectar,1
M0392,Melastomataceae,NA,NA,SubshrubOrShrub,10,7.5,6.9,Cyanthiform,White,Pink,Zygomorphic,Melittophil,Pollen,1
M0393,Rubiaceae,Palicourea,Palicourea_pseudaxillaris,Tree,10,6.7,2,Tubulate,White,NA,Actinomorphic,NA,Nectar,1
M0394,Gesneriaceae,Columnea,Columnea_cf._rubriacuta,Epiphyte,10,40.8,4.5,Tubulate,Yellow,Red,Zygomorphic,Ornithophil,Nectar,209
M0395,Araceae,Philodendron,cf._Philodendron_sp._1,NA,100,0,0.1,Spike,White,NA,Incomplete,Cantharophil,NA,1
M0396,Melastomataceae,Miconia,Miconia_cf._Rubra,SubshrubOrShrub,10,4.1,1,Cyanthiform,Purple,White,Zygomorphic,Melittophil,Pollen,109
M0397,Cyperaceae,NA,NA,HerbGeneral,1000,2,0.5,Cyanthiform,White,NA,Actinomorphic,NA,Pollen,118
M0398,Piperaceae,Piper,cf._Piper_sp._4,NA,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,1
M0399,Melastomataceae,NA,NA,SubshrubOrShrub,100,3.1,1.2,Cyanthiform,Pink,NA,Zygomorphic,Melittophil,Pollen,3
M0400,Araceae,Philodendron,Philodendron_sp._2,NA,1000,0,0.1,Trap,White,NA,Incomplete,Cantharophil,Deception,8
M0402,Orchidaceae,Sobralia,Sobralia_chrysostoma,Perennial,1,56.3,18.4,Coronate,White,Yellow,Zygomorphic,Melittophil,Deception,9
M0403,Loranthaceae,Struthanthus,Struthanthus_sp.,Liana,100,1.4,0.7,Cruciform,White,NA,Actinomorphic,Melittophil,Nectar,2
M0404,Melastomataceae,NA,NA,SubshrubOrShrub,100,2.7,1.6,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,3
