Species,Family,Genus,Species_name,Lifeform-Habit,log_density-factor,Length_Av[mm],Width_Av[mm],FlowerShape,FlowerColour1,FlowerColour2,FlowerSymmetry,PollinationSyndrome,MainResource,Idv_total
M0077,Solanaceae,Solanum,Solanum_sp._2,SubshrubOrShrub,1000,0,3.1,Rotate,Purple,Yellow,Actinomorphic,Melittophil,Pollen,10
M0078,Melastomataceae,Miconia,Miconia_rubescens,SubshrubOrShrub,100,0,1.6,Cruciform,White,Yellow,Zygomorphic,Melittophil,Pollen,16
M0079,Gentianaceae,Chelonanthus,Helia_alata,Annual,10,19.5,12.4,Campanulate,Green,Yellow,Zygomorphic,Chiropterophil,Nectar,120
M0080,Rubiaceae,Coffea,Coffea_arabica,Tree,100,0,3.1,Tubulate,White,NA,Actinomorphic,Melittophil,Nectar,1
M0081,Cyperaceae,Cyperus,Cyperus_luzulae,Perennial,100,0,1.4,Capitulate,Green,White,Actinomorphic,Anemophil ,Pollen,1205
M0082,Solanaceae,NA,NA,NA,100,0,2.3,Rotate,Green,Yellow,Actinomorphic,Melittophil,Pollen,14
M0083,Lamiaceae,Hyptis,Hyptis_verticillata,SubshrubOrShrub,100,1.3,1,Labiate,White,NA,Zygomorphic,Melittophil,Nectar,6
M0084,Onagraceae,Ludwigia,Ludwigia_erecta,SubshrubOrShrub,10,0,3.2,Cruciform,Yellow,NA,Actinomorphic,Melittophil,Nectar,71
M0085,Onagraceae,Ludwigia,Ludwigia_octovalvis,SubshrubOrShrub,10,0,4.3,Cruciform,Yellow,NA,Actinomorphic,Melittophil,Nectar,44
M0086,Lamiaceae,Hyptis,cf._Hyptis_sp._1,HerbGeneral,100,2.5,0.9,Labiate,White,NA,Zygomorphic,Melittophil,Nectar,131
M0087,Rubiaceae,Gonzalagunia,Gonzalagunia_hirsuta,SubshrubOrShrub,10,6.6,1.3,Tubulate,White,NA,Actinomorphic,Phalenophil,Nectar,8
M0088,Rubiaceae,Isertia,Isertia_pittieri,Tree,1000,66.3,8.6,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,30
M0089,Verbenaceae,Lantana,Lantana_cf._Camara,SubshrubOrShrub,100,8.5,1,Tubulate,Orange,Yellow,Actinomorphic,Psychophil,Nectar,13
M0090,Boragniaceae,Varronia,cf._Varronia_sp.,SubshrubOrShrub,1000,4.1,3.5,Cyanthiform,White,NA,Actinomorphic,Melittophil,Nectar,6
M0091,Siparunaceae,Siparuna,Siparuna_cf._Thecaphora,SubshrubOrShrub,1000,0,5.6,Rotate,White,Yellow,Actinomorphic,SDI,Deception,2
M0092,Melastomataceae,Nepsera,Nepsera_aquatica,SubshrubOrShrub,10,2.2,1.5,Cruciform,White,Purple,Zygomorphic,Melittophil,Pollen,128
M0093,Melastomataceae,Miconia ,Miconia_conocuatrecasasii,Tree,1000,5.7,4.6,Cyanthiform,Pink,Yellow,Zygomorphic,Melittophil,Pollen,8
M0094,Gesneriaceae,Gasteranthus,Gasteranthus_villosus,SubshrubOrShrub,1,36.8,14.7,Campanulate,Yellow,Purple,Zygomorphic,Melittophil,Nectar,130
M0095,Phytolaccaceae,Phytolacca,Phytolacca_cf._rivinioides,SubshrubOrShrub,100,0,2,Crateriform,Pink,Green,Actinomorphic,Melittophil,Nectar,3
M0096,Melastomataceae,Triolena,Triolena_sp._1,HerbGeneral,1,0,2.5,Rotate,Pink,Yellow,Zygomorphic,Melittophil,Pollen,23
M0097,Solanaceae,Witheringia,Witheringia_solanacea,SubshrubOrShrub,100,1.5,2.1,Rotate,White,NA,Actinomorphic,Melittophil,Pollen,3
M0098,Commelinaceae,Tripogandra,Tripogandra_serrulata,SubshrubOrShrub,10,1.3,2.1,Rotate,White,Yellow,Zygomorphic,Melittophil,Pollen,2
M0099,Campanulaceae,Burmeistera,Burmeistera_cf._smaragdi,SubshrubOrShrub,1,14.4,5.2,Campanulate,White,Green,Zygomorphic,Chiropterophil,Nectar,2
M0100,Rubiaceae,Hamelia,Hamelia_macrantha,SubshrubOrShrub,100,27.4,8.8,Campanulate,Yellow,NA,Actinomorphic,Melittophil,Nectar,4
M0101,Gesneriaceae,Trichodrymonia,Trichodrymonia_hypocyrta,Perennial,10,23.9,3.9,Saccate,White,Red,Zygomorphic,Ornithophil,Nectar,25
M0102,Begoniaceae,Begonia,Begonia_semiovata,Annual,10,0,1.2,Rotate,White,Yellow,Zygomorphic,Melittophil,Pollen,5
M0103,Loasaceae,Klaprothia,Klaprothia_fasciculata,Annual,100,2,1.2,Crateriform,White,NA,Actinomorphic,SDI,Nectar,1
M0104,Piperaceae,Piper,Piper_sp._2,SubshrubOrShrub,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,24
M0105,Gesneriaceae,Monopyle,Monopyle_sodiroana,HerbGeneral,1,14,10.1,Funnelform,Purple,White,Zygomorphic,Melittophil,Nectar,168
M0106,Melastomataceae,Aciotis,cf._Aciotis_sp._1,HerbGeneral,10,2.4,1.2,Cyanthiform,Pink,White,Zygomorphic,Melittophil,Pollen,57
M0107,Lamiaceae,Hyptis,cf._Hyptis_sp._2,HerbGeneral,100,1.5,0.8,Labiate,White,NA,Zygomorphic,Melittophil,Nectar,567
M0108,Melastomataceae,Miconia,Miconia_cf._Dependens,SubshrubOrShrub,100,2.4,3.8,Cyanthiform,White,Green,Actinomorphic,Melittophil,Pollen,7
M0109,Cyperaceae,Rhynchospora,Rhynchospora_cf._Radicans,Perennial,10,5.1,2.1,Tubulate,White,NA,Actinomorphic,Ambophil,Pollen,37
M0110,Melastomataceae,Chaetogastra,cf._Chaeotgastra_sp.,HerbGeneral,1,2,4.9,Cruciform,Pink,Yellow,Zygomorphic,Melittophil,Pollen,12
M0111,Lythraceae,Cuphea,Cuphea_sp._1,HerbGeneral,10,5.7,2.5,Tubulate,Pink,NA,Zygomorphic,Melittophil,Nectar,5
M0112,Asteraceae,NA,NA,SubshrubOrShrub,10000,5,1,Capitulate,White,NA,Actinomorphic,SDI*,Nectar,7
M0114,Piperaceae,Piper,Piper_cf._Marginatum,SubshrubOrShrub,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,1
M0115,Heliconiaceae,Heliconia,Heliconia_sp._2,SubshrubOrShrub,10,29.7,4.4,Tubulate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,53
M0116,Acanthaceae,Justicia,Justicia_sp._1,HerbGeneral,1,7.4,1.4,Labiate,Pink,White,Zygomorphic,Melittophil,Nectar,2
M0117,Asteraceae,Clibadium,Clibadium_cf._Grandifolium,Tree,1000,2.6,0.8,Capitulate,White,NA,Zygomorphic,Melittophil,Nectar,45
M0118,NA,NA,NA,NA,100,12.5,11.5,Funnelform,White,NA,Actinomorphic,NA,Nectar,8
M0119,Heliconiaceae,Heliconia,Heliconia_curtispatha,Geophyte,100,35.8,4.9,Tubulate,Pink,Yellow,Zygomorphic,Ornithophil,Nectar,12
M0120,Araceae,Anthurium,Anthurium_cf._Ochreatum,SubshrubOrShrub,100,0,0.1,Spike,White,Yellow,Incomplete,SDI,Pollen,20
M0121,Salicaceae,Banara,Banara_guianensis,Tree,10000,0,3.6,Brushform,Yellow,NA,Actinomorphic,Melittophil,"Pollen, Nectar",10
M0122,Melastomataceae,Miconia,Miconia_spadiciflora,SubshrubOrShrub,100,4.8,3.3,Rotate,Yellow,Green,Zygomorphic,Melittophil,Pollen,65
M0123,Costaceae,Costus,Costus_cf._Laevis,Geophyte,1,54.6,16.6,Tubulate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,1
M0124,Melastomataceae,Miconia,Miconia_cf._Explicita,SubshrubOrShrub,10,0,4,Cyanthiform,White,Pink,Zygomorphic,Melittophil,"Pollen, Nectar",31
M0125,Araceae,Anthurium,Anthurium_sp._1,HerbGeneral,100,0,0.1,Spike,White,Yellow,Incomplete,SDI,Pollen,1
M0126,Maranthaceae,Calathea,Calathea_guzmanioides,Perennial,100,33.1,2.7,Tubulate,Yellow,NA,Zygomorphic,Melittophil,Nectar,22
M0127,Melastomataceae,Miconia,Miconia_cf._Crenata,SubshrubOrShrub,100,0,1.9,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,31
M0128,Cucurbitaceae,Cayaponia,Cayaponia_sp._1,Climber,1000,25,7.9,Urceolate,Green,Yellow,Zygomorphic,"Melittophil, Chiropterophil",Nectar,5
M0129,Orchidaceae,Sievekingia,Sievekingia_rhonhofiae,Epiphyte,10,0,7,OrchidFlower,Yellow,NA,Zygomorphic,Melittophil,Scent,1
M0131,Campanulaceae,Burmeistera,Burmeistera_sp._1,SubshrubOrShrub,10,12.8,3.4,Campanulate,Green,NA,Zygomorphic,Chiropterophil,Nectar,3
M0133,Urticaceae,Pilea,Pilea_cf._Pteropodon,Epiphyte,100,0,1.2,Urceolate,White,Green,Actinomorphic,SDI,"Nectar, Pollen",24
M0134,Costaceae,Costus,Costus_cordatus,Geophyte,1,38.2,3.5,Tubulate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,1
M0135,Asteraceae,Mikania,Mikania_sp._2,ScramblingShrub,100,4.3,0.8,Capitulate,White,NA,Actinomorphic,SDI*,Nectar,39
M0136,Asteraceae,Elephantopus,Elephantopus_mollis,Perennial,100,3.4,1.2,Capitulate,White,NA,Actinomorphic,Melittophil,Nectar,119
M0137,Fabaceae,Inga,Inga_oerstediana,Tree,1000,24.1,3,Brushform,White,NA,Actinomorphic,Sphingophil,Nectar,2
M0138,Cyperaceae,Cyperus,Cyperus_sp.,HerbGeneral,100,1.4,0.1,Spike,Green,NA,Actinomorphic,Anemophil,Pollen,6
M0139,Lecythidaceae,Eschweilera,Eschweilera_awaensis,Tree,100,0,32.4,Brushform,Yellow,NA,Zygomorphic,Melittophil,"Pollen, Nectar",1
M0140,Melastomataceae,NA,NA,HerbGeneral,10,2.3,1.3,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,7
M0141,Lythraceae,Cuphea,Cuphea_sp._2,HerbGeneral,1,5.5,2.2,Tubulate,Pink,Purple,Zygomorphic,Melittophil,Nectar,10
M0142,Solanaceae,Solanum,Solanum_cf._umbellatum,ShrubOrTree,100,0,2.6,Rotate,White,Yellow,Actinomorphic,Melittophil,Pollen,44
M0143,Fabaceae,Inga,Inga_chocoensis,Tree,1000,NA,NA,Brushform,White,NA,Actinomorphic,Phalenophil,Nectar,1
M0144,Marantaceae,Goeppertia,Goeppertia_cf._Micans,Perennial,1,7.9,1.5,Funnelform,White,NA,Asymetric,Ornithophil,Nectar,13
M0145,Rubiaceae,NA,NA,HerbGeneral,10,5.9,2.9,Campanulate,White,NA,Actinomorphic,Melittophil,Nectar,2008
M0146,Poaceae,Paspalum,Paspalum_sp._1,HerbGeneral,1000,1.1,0.2,Spike,Green,Purple,Zygomorphic,Ambophil,Pollen,50
M0147,Poaceae,Paspalum,Paspalum_sp._2,HerbGeneral,100,1.2,0.1,Spike,White,NA,Zygomorphic,Ambophil,Pollen,3
M0148,Poaceae,Paspalum,Paspalum_sp._3,HerbGeneral,100,NA,NA,Spike,White,NA,Zygomorphic,Ambophil,Pollen,18
M0149,Asteraceae,Clibadium,Clibadium_cf._eggersii,SubshrubOrShrub,100,0.9,0.7,Capitulate,White,NA,Actinomorphic,SDI,Nectar,3
M0150,Myrtaceae,Psidium,Psidium_guajava,Tree,10,0,4.3,Brushform,White,NA,Actinomorphic,Melittophil,"Nectar, Pollen",1
M0151,Lamiaceae,NA,NA,HerbGeneral,100,2.7,1,Labiate,Pink,NA,Zygomorphic,Melittophil,Nectar,11
M0152,Asteraceae,NA,NA,HerbGeneral,100,2.6,0.1,Capitulate,White,Yellow,Actinomorphic,Melittophil,Nectar,2
M0153,Asteraceae,Chaptalia,Chaptalia_nutans,Perennial,100,8.3,0.5,Capitulate,White,NA,Actinomorphic,Psychophil,Nectar,4
M0154,Poaceae,Urochloa,Urochloa_sp.,HerbGeneral,100,3.5,0.6,Urceolate,Orange,Yellow,Actinomorphic,Melittophil,Pollen,103
M0155,Fabaceae,NA,NA,Climber,10,4.6,3.5,Papilionate,Purple,White,Zygomorphic,Melittophil,Nectar,43
M0156,Bignoniaceae,NA,NA,Climber,10,36.9,13.7,Funnelform,Pink,NA,Zygomorphic,Melittophil,Nectar,1
M0157,Apocynaceae,Mandevilla,Mandevilla_sagittarii,Climber,10,60.7,8.3,Funnelform,White,Orange,Actinomorphic,Melittophil,Nectar,8
M0158,Melastomataceae,Aciotis,cf._Aciotis_sp._2,HerbGeneral,10,1.8,2.2,Cyanthiform,Pink,NA,Zygomorphic,Melittophil,Pollen,5
M0159,Apocynaceae,NA,NA,NA,100,36.2,11.9,Funnelform,White,NA,Zygomorphic,NA,Nectar,2
M0160,Rubiaceae,Faramea,Faramea_cf._Hyacinthina,Tree,100,6.7,1.1,Tubulate,Purple,Blue,Actinomorphic,"Phalenophil, Melittophil",Nectar,18
M0161,Marantaceae,Goeppertia,Goeppertia_cf._Macrosepala,Perennial,10,28.4,2.5,Tubulate,White,NA,Asymetric,Ornithophil,Nectar,1
M0162,Melastomataceae,Triolena,Triolena_cf._Auriculata_,HerbGeneral,10,2.5,3.2,Rotate,White,Red,Zygomorphic,Melittophil,Pollen,11
M0163,Fabaceae,Inga,Inga_sp.,Tree,1000,7,1.9,Brushform,White,NA,Actinomorphic,Phalenophil,Nectar,1
M0164,Piperaceae,NA,NA,Climber,1000,0,0.1,Spike,White,NA,Incomplete,SDI,Pollen,8
M0165,Phyllanthaceae,Hieronyma,cf._Hieronyma_alchorneoides,Tree,10000,0,1.2,Brushform,NA,NA,Zygomorphic,SDI,"Pollen, Nectar",5
M0166,Rubiaceae,Palicourea,Palicourea_timbiquensis,SubshrubOrShrub,1000,22.4,3.6,Tubulate,Pink,White,Zygomorphic,Ornithophil,Nectar,13
M0167,Orchidaceae,Vanilla,Vanilla_cf._Pompona_or_rivasii,Climber,1,44.7,11,Campanulate,Yellow,Green,Zygomorphic,Melittophil,Deception,1
M0169,Rubiaceae,Notopleura,Notopleura_longipedunculoides,SubshrubOrShrub,10,4.9,1.7,Tubulate,White,NA,Actinomorphic,Melittophil,Nectar,3
M0170,Gesneriaceae,Columnea,Columnea_medicinalis,Epiphyte,10,41.1,6,Tubulate,Yellow,Purple,Zygomorphic,Ornithophil,Nectar,12
M0171,Rubiaceae,Faramea,Faramea_sp.,NA,100,33.3,2.7,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,2
M0172,Rubiaceae,NA,NA,NA,1000,12.7,1.1,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0173,Myristicaceae,Compsoneura,Compsoneura_atopa,Tree,10000,0,1.5,Crateriform,Yellow,NA,Actinomorphic,SDI,NA,3
M0174,Clusiaceae,Clusia,Clusia_sp._1,Tree,1000,0,4.8,Brushform,White,NA,Actinomorphic,Melittophil,Resin,9
M0175,NA,NA,NA,NA,1000,0,5.3,Rotate,NA,NA,Actinomorphic,NA,NA,1
M0176,Asteraceae,NA,NA,Climber,100,0,0.6,Capitulate,White,NA,Actinomorphic,Melittophil,Nectar,1
M0177,Meliaceae,Carapa,Carapa_guianensis,Tree,10000,4,3.7,Cyanthiform,White,Yellow,Actinomorphic,Phalenophil,Nectar,1
M0178,Araceae,Anthurium,Anthurium_sp._2,Liana,100,1.6,1.8,Spike,Purple,NA,Incomplete,SDI,Pollen,1
M0179,Orchidaceae,NA,NA,Epiphyte,10,2.2,0.3,OrchidFlower,White,NA,Zygomorphic,NA,NA,1
M0180,Melastomataceae,Miconia,cf._Miconia_sp._1,SubshrubOrShrub,100,3.4,1.5,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,24
M0181,Melastomataceae,Miconia,Miconia_cf._Rubescens,Tree,1000,3.3,1.6,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,26
M0182,Melastomataceae,Miconia,cf._Miconia_sp._2,Tree,1000,2.1,1.2,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,4
M0183,Melastomataceae,Miconia,cf._Miconia_sp._3,SubshrubOrShrub,100,2.6,1.2,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,16
M0184,Malvaceae,Trichospermum,Trichospermum_galeottii,Tree,10000,0,3.8,Rotate,Pink,Yellow,Actinomorphic,Melittophil,Nectar,64
M0185,Rubiaceae,Palicourea,cf._Palicourea_sp._1,NA,10000,8.6,2.6,Tubulate,White,NA,Actinomorphic,Ornithophil,Nectar,1
M0186a,NA,NA,NA,Tree,1000,0,9.8,Brushform,White,Green,Actinomorphic,NA,NA,5
M0186b,NA,NA,NA,Tree,100,NA,5,Tubulate,White,NA,Actinomorphic,NA,NA,1
M0187,Malpighiaceae,NA,NA,Tree,1000,0,3.3,Rotate,Yellow,NA,Zygomorphic,Melittophil,"Oils, Pollen",1
M0189,Violaceae,Rinorea,Rinorea_arborea,Tree,10000,0,2.5,Cyanthiform,Yellow,Green,Actinomorphic,SDI,Nectar,1
M0190,Melastomataceae,Miconia,cf._Miconia_sp._4,Tree,1000,1.8,1.2,Cyanthiform,Green,Yellow,Zygomorphic,Melittophil,Pollen,4
M0191,NA,NA,NA,Tree,1000,NA,NA,NA,White,NA,NA,NA,NA,1
M0192,NA,NA,NA,NA,10,19.7,6.8,Funnelform,White,NA,Zygomorphic,Melittophil,Nectar,1
M0193,Ericaceae,Cavendishia,Cavendishia_sp._2,NA,100,NA,NA,Tubulate,White,Pink,Actinomorphic,Ornithophil,Nectar,1
M0194,Melastomataceae,Miconia,cf._Miconia_sp._5,SubshrubOrShrub,1000,3,1.8,Cyanthiform,White,Yellow,Zygomorphic,Melittophil,Pollen,2
M0195,Bignoniaceae,Tabebuia,cf._Tabebuia_sp.,NA,1000,52.6,15.9,Funnelform,Pink,White,Zygomorphic,Melittophil,Nectar,1
M0196,NA,NA,NA,Tree,1000,0,3.8,Brushform,Green,White,Actinomorphic,NA,NA,2
M0197a,NA,NA,NA,NA,100,14.8,14.8,Campanulate,Green,White,Actinomorphic,Melittophil,Nectar,1
M0197b,Apocynaceae,Tabernaemontana,Tabernaemontana_amygdalifolia,Tree,1000,24,2.8,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,10
M0198,Melastomataceae,Miconia,cf._Miconia_sp._6,SubshrubOrShrub,1000,3.6,1.5,Cyanthiform,White,Green,Zygomorphic,Melittophil,Pollen,15
M0199,Gesneriaceae,Cremosperma,Cremosperma_cf._Nobile,SubshrubOrShrub,1,16.1,8.5,Funnelform,White,Yellow,Zygomorphic,Melittophil,Nectar,28
M0200,NA,NA,NA,Tree,1000,0,9.5,Brushform,White,Yellow,Actinomorphic,NA,NA,1
M0201,Cordiaceae,Cordia,Cordia_aff._Lucidula,Tree,10000,3.4,3,Cyanthiform,Pink,NA,Actinomorphic,Melittophil,Nectar,5
M0202,Ericaceae,Psammisia,Psammisia_sp._1,NA,100,27.1,5.6,Tubulate,White,Red,Zygomorphic,Ornithophil,Nectar,3
M0203,NA,NA,NA,SubshrubOrShrub,10,2.8,3.5,Rotate,White,Yellow,Actinomorphic,Melittophil,Pollen,1
M0204,Convolvulaceae,Ipomoea,Ipomoea_cf._Philomega,Liana,10,44.7,12.9,Funnelform,Pink,NA,Actinomorphic,Melittophil,Nectar,23
M0205,Malvaceae,Matisia,Matisia_cordata,Tree,100,22.7,13.1,Tubulate,White,Yellow,Zygomorphic,Chiropterophil,Nectar,2
M0206,Bignoniaceae,NA,NA,NA,100,46.1,19.9,Campanulate,Pink,NA,Zygomorphic,Melittophil,Nectar,1
M0207,Campanulaceae,Burmeistera,Burmeistera_sp._2,SubshrubOrShrub,1,10.7,9.3,Campanulate,Green,White,Zygomorphic,Chiropterophil,Nectar,1
M0208,Lecythidaceae,Eschweilera,Eschweilera_cf._Rimbachii,Tree,1000,0,21.1,Brushform,Pink,NA,Zygomorphic,Melittophil,"Pollen, Nectar",6
M0209,Melastomataceae,Triolena,Triolena_cf._Pustulata,HerbGeneral,10,0,2.5,Cyanthiform,White,Pink,Zygomorphic,Melittophil,Pollen,10
M0210,Melastomataceae,Aciotis,cf._Aciotis_sp._3,HerbGeneral,10,2.8,1.4,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,22
M0211,Gesneriaceae,Columnea,Columnea_picta,EpiphyticShrub,10,42.4,8.6,Campanulate,Yellow,Red,Zygomorphic,Ornithophil,Nectar,23
M0212,Rubiaceae,Notopleura,Notopleura_cf._Laterifolia,SubshrubOrShrub,100,1.7,1.3,Tubulate,White,NA,Zygomorphic,Phalenophil,Nectar,1
M0213,Annonaceae,Guatteria,cf._Guatteria_sp._1,NA,1000,NA,NA,Rotate,White,NA,Actinomorphic,Cantharophil,FleshyParts,2
M0215,NA,NA,NA,Tree,1000,10,3,Tubulate,NA,NA,Zygomorphic,NA,NA,1
M0216,NA,NA,NA,NA,100,6.4,10.1,NA,White,NA,NA,NA,NA,4
M0217,NA,NA,NA,SubshrubOrShrub,10,NA,NA,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,1
M0218,Malvaceae,Matisia,Matisia_malacocalyx,Tree,1000,19.6,9.6,Tubulate,White,NA,Zygomorphic,Chiropterophil,Nectar,1
M0219,Rubiaceae,Posoqueria,Posoqueria_maxima,Tree,1000,74.2,4.1,Tubulate,White,NA,Zygomorphic,Sphingophil,Nectar,1
M0220,NA,NA,NA,NA,1000,0,3.6,Cyanthiform,NA,NA,Actinomorphic,NA,NA,1
M0221,Lamiaceae,Vitex,Vitex_cymosa,Tree,1000,5.7,1,Labiate,Pink,NA,Zygomorphic,Melittophil,Nectar,1
M0222,NA,NA,NA,NA,1000,NA,NA,NA,NA,NA,NA,NA,NA,1
M0223,Meliaceae,Guarea,Guarea_kunthiana,Tree,10000,9.2,2.9,Urceolate,White,NA,Actinomorphic,Phalenophil,Nectar,1
M0224,Rubiaceae,Faramea,cf._Faramea_coffeoides,Tree,1000,21.1,0.9,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,2
M0226,Sapotaceae,Licania,Moquilea_celiae,Tree,1000,5.3,9.9,Campanulate,Yellow,Green,Actinomorphic,Melittophil,Nectar,2
M0227,Metteniusaceae,Metteniusa,Metteniusa_tessmanniana,Tree,1000,17.8,1,Tubulate,White,Yellow,Actinomorphic,Sphingophil,Nectar,3
M0228,NA,NA,NA,Tree,1000,0,13.8,NA,White,NA,NA,NA,NA,2
M0230,NA,NA,NA,Tree,1000,NA,NA,NA,NA,NA,NA,NA,NA,1
M0231,NA,NA,NA,Tree,1000,10.6,1,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0232,Rubiaceae,Guettarda,Guettarda_crispiflora,Tree,1000,15.9,1.6,Tubulate,White,Yellow,Actinomorphic,Sphingophil,Nectar,3
M0233,Ericaceae,Cavendishia,Cavendishia_venosa,EpiphyticShrub,100,35.7,3.7,Tubulate,White,Pink,Zygomorphic,Ornithophil,Nectar,9
M0234,Rubiaceae,Faramea,Faramea_multiflora,SubshrubOrShrub,100,6.2,1.4,Tubulate,White,Yellow,Actinomorphic,Sphingophil,Nectar,3
M0235,NA,NA,NA,NA,100,NA,NA,NA,White,NA,NA,NA,NA,2
M0236,NA,NA,NA,NA,1000,7.3,3.9,NA,Pink,NA,NA,NA,NA,1
M0237,cf. Metteniusaceae,Dendrobangia,cf._Dendrobangia_boliviana,Tree,10000,0,1,Capitulate,Green,Yellow,Actinomorphic,Melittophil,Nectar,1
M0238,Gesneriaceae,NA,NA,NA,100,14.9,6,Campanulate,Yellow,NA,Zygomorphic,Ornithophil,Nectar,2
M0239,NA,NA,NA,NA,100,2.6,3.4,Rotate,White,Yellow,Zygomorphic,Melittophil,Pollen,1
M0239a,NA,NA,NA,NA,10000,0,2.6,Rotate,White,Yellow,Actinomorphic,Melittophil,Nectar,1
M0240,Clusiaceae,Garcinia,cf._Garcinia_sp.,Tree,1000,0,2.3,Cyanthiform,White,NA,Actinomorphic,Melittophil,NA,1
M0241,NA,NA,NA,Tree,10000,0,1,Brushform,Yellow,Green,Actinomorphic,Melittophil,Pollen,7
M0242,Fabaceae,Andira,cf._Andira_taurotesticulata,Tree,1000,5.4,3.1,Papilionate,Purple,NA,Zygomorphic,Melittophil,Nectar,1
M0243,Meliaceae,Trichilia,Trichilia_surinamensis,Tree,10000,0,1.4,Rotate,Yellow,Green,Actinomorphic,SDI,Nectar,1
M0244,Burmanniaceae,Gymnosiphon,Gymnosiphon_sp._1,HerbGeneral,1,2.4,0.6,Rotate,White,NA,Actinomorphic,SDI,NA,3
M0245,Rubiaceae,Amphidasya,Amphidasya_colombiana,SubshrubOrShrub,1,2.6,22.7,Tubulate,White,NA,Actinomorphic,Sphingophil,Nectar,1
M0246,Asteraceae,Pseudelephantopus,Pseudelephantopus_spiralis,Perennial,10,NA,NA,Tubulate,Pink,NA,Actinomorphic,Melittophil,Nectar,4
M0247,Rubiaceae,Manettia,Manettia_sp._1,Climber,10,11.9,1.6,Rotate,White,NA,Actinomorphic,Melittophil,Nectar,1
M0248,Bromeliaceae,Guzmania,Guzmania_monostachia,Epiphyte,10,24.3,3.9,Tubulate,Red,White,Actinomorphic,Ornithophil,Nectar,2
M0249,Rubiaceae,Palicourea,Palicourea_guianensis,SubshrubOrShrub,1000,14,3.7,Tubulate,Yellow,Orange,Actinomorphic,Ornithophil,Nectar,58
M0250,Melastomataceae,Aciotis,cf._Aciotis_sp._4,HerbGeneral,1,2.1,1.2,Cyanthiform,White,Pink,Zygomorphic,Melittophil,Pollen,14
M0251,Heliconiaceae,Heliconia,Heliconia_bihai,Geophyte,10,47.3,6.7,Tubulate,Red,White,Zygomorphic,Ornithophil,Nectar,13
M0254,Orchidaceae,Aspidogyne,Aspidogyne_cf._maculata,Geophyte,1,2.7,1,OrchidFlower,White,Green,Zygomorphic,Melittophil,Nectar,4
M0255,Hypericaceae,Vismia,Vismia_baccifera,Tree,1000,0,2.5,Rotate,Green,Yellow,Actinomorphic,Melittophil,Nectar,17
M0256,Melastomataceae,Miconia,Miconia_sp._7,SubshrubOrShrub,10,NA,NA,Cyanthiform,White,NA,Zygomorphic,Melittophil,Pollen,2
M0257,Melastomataceae,Miconia,Miconia_sp._8,SubshrubOrShrub,10,3,1,NA,White,NA,Zygomorphic,Melittophil,Pollen,2
M0258,Melastomataceae,Miconia,Miconia_purpureoviolacea,SubshrubOrShrub,100,2.2,1.1,Cyanthiform,Red,White,Actinomorphic,Melittophil,Pollen,32
M0259,Rubiaceae,Faramea,Faramea_sp.,NA,1000,NA,NA,Tubulate,White,NA,Actinomorphic,Phalenophil,Nectar,1
M0260,NA,NA,NA,NA,100,0,1.2,NA,White,Green,Actinomorphic,NA,NA,1
M0261,Rutaceae,Hortia,Hortia_brasiliana,Tree,10000,1,3.2,Crateriform,Pink,Green,Actinomorphic,Melittophil,Nectar,6
M0262,cf. Melastomataceae,Blakea,cf._Blakea_sp._2,NA,1000,NA,NA,Rotate,?,,Zygomorphic,"Melittophil, Therophil","Pollen, Nectar",6
M0263,NA,NA,NA,NA,1000,NA,NA,NA,White,NA,Actinomorphic,NA,NA,5
M0264,Loganiaceae,Spigelia,Spigelia_cf._Pedunculata,SubshrubOrShrub,10,13,1.7,Funnelform,White,Pink,Actinomorphic,Melittophil,Nectar,3
M0265,Gesneriaceae,Trichodrymnonia,Trichodrymonia_cf._binata,Epiphyte,10,27.8,4.1,Saccate,Red,Yellow,Zygomorphic,Ornithophil,Nectar,12
M0266,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,2
M0267,Melastomataceae,Blakea,Blakea_sp._3,NA,100,NA,NA,NA,NA,NA,Zygomorphic,"Melittophil, Therophil","Pollen, Nectar",2
