group,species,individual,number,trait,measure
Euglossini,Euglossa deceptrix group,M-C-2390,4427,proboscisLength,7.2
Euglossini,Euglossa deceptrix group,B1123,292,wingLength,8.1
Euglossini,Euglossa deceptrix group,B1129,344,wingLength,8.6
Euglossini,Euglossa deceptrix group,B1130,348,wingLength,8.9
Euglossini,Euglossa deceptrix group,B1163,164,wingLength,8
Euglossini,Euglossa deceptrix group,B1163,4201,wingLength,8.1
Euglossini,Euglossa deceptrix group,B1314,4069,wingLength,9.4
Euglossini,Euglossa deceptrix group,B1315,4073,wingLength,8.8
Euglossini,Euglossa deceptrix group,B1324,420,wingLength,9.2
Euglossini,Euglossa deceptrix group,B1324,4045,wingLength,7.5
Euglossini,Euglossa deceptrix group,B1328,388,wingLength,8.4
Euglossini,Euglossa deceptrix group,B1329,392,wingLength,8.1
Euglossini,Euglossa deceptrix group,B1329,4057,wingLength,8.3
Euglossini,Euglossa deceptrix group,J-0001,5325,wingLength,8.96
Euglossini,Euglossa deceptrix group,J-0024,5510,wingLength,8.63
Euglossini,Euglossa deceptrix group,J-0068,5498,wingLength,9.18
Euglossini,Euglossa deceptrix group,J-0069,5502,wingLength,8.37
Euglossini,Euglossa deceptrix group,J-0073,5542,wingLength,8.01
Euglossini,Euglossa deceptrix group,J-0250,5429,wingLength,8.4
Euglossini,Euglossa deceptrix group,M-0056,4397,wingLength,8.2
Euglossini,Euglossa deceptrix group,M-0060,4405,wingLength,7.9
Euglossini,Euglossa deceptrix group,M-0116,3141,wingLength,8.9
Euglossini,Euglossa deceptrix group,M-0117,3145,wingLength,9
Euglossini,Euglossa deceptrix group,M-0118,3149,wingLength,8
Euglossini,Euglossa deceptrix group,M-0119,3153,wingLength,9.3
Euglossini,Euglossa deceptrix group,M-0120,3157,wingLength,9.2
Euglossini,Euglossa deceptrix group,M-0170,4297,wingLength,8.1
Euglossini,Euglossa deceptrix group,M-0306,4301,wingLength,8.1
Euglossini,Euglossa deceptrix group,M-0395,4409,wingLength,8.3
Euglossini,Euglossa deceptrix group,M-0407,4305,wingLength,7.9
Euglossini,Euglossa deceptrix group,M-0414,4077,wingLength,7.2
Euglossini,Euglossa deceptrix group,M-0445,4309,wingLength,8.4
Euglossini,Euglossa deceptrix group,M-0531,4313,wingLength,7.8
Euglossini,Euglossa deceptrix group,M-1039,4317,wingLength,8.4
Euglossini,Euglossa deceptrix group,M-1471,4333,wingLength,8.3
Euglossini,Euglossa deceptrix group,M-1644,4321,wingLength,8
Euglossini,Euglossa deceptrix group,M-1726,4325,wingLength,8.5
Euglossini,Euglossa deceptrix group,M-1742,4329,wingLength,8.6
Euglossini,Euglossa deceptrix group,M-2117,4417,wingLength,8
Euglossini,Euglossa deceptrix group,M-C-1926,3937,wingLength,9.3
Euglossini,Euglossa deceptrix group,M-C-2291,4421,wingLength,7.7
Euglossini,Euglossa deceptrix group,M-C-2390,4425,wingLength,8.2
Euglossini,Euglossa deceptrix group,J-0001,5326,wingWidth,2.71
Euglossini,Euglossa deceptrix group,J-0024,5511,wingWidth,2.68
Euglossini,Euglossa deceptrix group,J-0027,5619,wingWidth,2.74
Euglossini,Euglossa deceptrix group,J-0048,5664,wingWidth,2.71
Euglossini,Euglossa deceptrix group,J-0049,5559,wingWidth,2.69
Euglossini,Euglossa deceptrix group,J-0066,5495,wingWidth,2.54
Euglossini,Euglossa deceptrix group,J-0068,5499,wingWidth,2.7
Euglossini,Euglossa deceptrix group,J-0069,5503,wingWidth,2.4
Euglossini,Euglossa deceptrix group,J-0073,5543,wingWidth,2.43
Euglossini,Euglossa deceptrix group,J-0140,5603,wingWidth,2.56
Euglossini,Euglossa deceptrix group,J-0250,5430,wingWidth,2.55
Euglossini,Euglossa deceptrix group,J-0730,5302,wingWidth,2.64
Euglossini,Euglossa deceptrix group,J-1183,5820,wingWidth,2.69
Euglossini,Euglossa deceptrix group,J-1186,5824,wingWidth,2.62
Euglossini,Euglossa deceptrix group,J-1383,5708,wingWidth,2.83
Euglossini,Euglossa deceptrix group,J-1880,5796,wingWidth,2.67
Euglossini,Euglossa dodsoni,B1119,177,intertegularDistance,3.5
Euglossini,Euglossa dodsoni,B1120,281,intertegularDistance,3.2
Euglossini,Euglossa dodsoni,B1121,285,intertegularDistance,2.9
Euglossini,Euglossa dodsoni,B1122,289,intertegularDistance,3.4
Euglossini,Euglossa dodsoni,B1378,4062,intertegularDistance,2.9
Euglossini,Euglossa dodsoni,M-0111,3130,intertegularDistance,3.1
Euglossini,Euglossa dodsoni,M-0143,3206,intertegularDistance,3
Euglossini,Euglossa dodsoni,M-0144,3210,intertegularDistance,3
Euglossini,Euglossa dodsoni,M-1260,4126,intertegularDistance,2.7
Euglossini,Euglossa dodsoni,M-1265,4130,intertegularDistance,2.9
Euglossini,Euglossa dodsoni,M-1267,4134,intertegularDistance,3
Euglossini,Euglossa dodsoni,M-1335,3670,intertegularDistance,2.8
Euglossini,Euglossa dodsoni,M-1504,4122,intertegularDistance,3
Euglossini,Euglossa dodsoni,M-1574,4166,intertegularDistance,3.1
Euglossini,Euglossa dodsoni,B1119,175,proboscisLength,10.3
Euglossini,Euglossa dodsoni,B1120,279,proboscisLength,11.1
Euglossini,Euglossa dodsoni,B1121,283,proboscisLength,11.5
Euglossini,Euglossa dodsoni,B1122,287,proboscisLength,11.9
Euglossini,Euglossa dodsoni,B1378,4063,proboscisLength,8.9
Euglossini,Euglossa dodsoni,M-0111,3131,proboscisLength,9.7
Euglossini,Euglossa dodsoni,M-0143,3207,proboscisLength,9.5
Euglossini,Euglossa dodsoni,M-0144,3211,proboscisLength,11
Euglossini,Euglossa dodsoni,M-1260,4127,proboscisLength,7
Euglossini,Euglossa dodsoni,M-1265,4131,proboscisLength,7.6
Euglossini,Euglossa dodsoni,M-1267,4135,proboscisLength,6.3
Euglossini,Euglossa dodsoni,M-1335,3671,proboscisLength,12.4
Euglossini,Euglossa dodsoni,M-1504,4123,proboscisLength,7.8
Euglossini,Euglossa dodsoni,M-1574,4167,proboscisLength,8
Euglossini,Euglossa dodsoni,B1119,176,wingLength,8.1
Euglossini,Euglossa dodsoni,B1120,280,wingLength,7.2
Euglossini,Euglossa dodsoni,B1121,284,wingLength,7.6
Euglossini,Euglossa dodsoni,B1122,288,wingLength,7.6
Euglossini,Euglossa dodsoni,B1378,4061,wingLength,7.5
Euglossini,Euglossa dodsoni,M-0111,3129,wingLength,7.5
Euglossini,Euglossa dodsoni,M-0143,3205,wingLength,8.2
Euglossini,Euglossa dodsoni,M-0144,3209,wingLength,7.6
Euglossini,Euglossa dodsoni,M-1260,4125,wingLength,7.7
Euglossini,Euglossa dodsoni,M-1265,4129,wingLength,7.2
Euglossini,Euglossa dodsoni,M-1267,4133,wingLength,7.6
Euglossini,Euglossa dodsoni,M-1335,3669,wingLength,7.5
Euglossini,Euglossa dodsoni,M-1504,4121,wingLength,7.6
Euglossini,Euglossa dodsoni,M-1574,4165,wingLength,7.7
Euglossini,Euglossa dodsoni,J-0093,5571,wingWidth,2.49
Euglossini,Euglossa dodsoni,J-0094,5575,wingWidth,2.36
Euglossini,Euglossa dodsoni,J-0095,5579,wingWidth,2.46
Euglossini,Euglossa dodsoni,J-0096,5583,wingWidth,2.42
Euglossini,Euglossa dodsoni,J-0102,5563,wingWidth,2.43
Euglossini,Euglossa dodsoni,J-0103,5547,wingWidth,2.48
Euglossini,Euglossa dodsoni,J-0110,5623,wingWidth,2.65
Euglossini,Euglossa dodsoni,J-0117,5611,wingWidth,2.29
Euglossini,Euglossa dodsoni,J-0118,5599,wingWidth,2.33
Euglossini,Euglossa dodsoni,J-1167,5382,wingWidth,2.53
Euglossini,Euglossa dodsoni,J-1168,5386,wingWidth,2.46
Euglossini,Euglossa dodsoni,J-1169,5390,wingWidth,2.16
Euglossini,Euglossa dodsoni,J-1170,5394,wingWidth,2.41
Euglossini,Euglossa dodsoni,J-1171,5398,wingWidth,2.56
Euglossini,Euglossa dodsoni,J-1712,5266,wingWidth,2.38
Euglossini,Euglossa dressleri,J-0711,5834,intertegularDistance,2.88
Euglossini,Euglossa dressleri,J-0711,5835,wingLength,8.7
Euglossini,Euglossa dressleri,J-0711,5836,wingWidth,2.49
Euglossini,Euglossa flammea-chalybeata gr,B1114,277,intertegularDistance,3.9
Euglossini,Euglossa flammea-chalybeata gr,B1159,313,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,B1160,317,intertegularDistance,4
Euglossini,Euglossa flammea-chalybeata gr,B1169,325,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,B1264,3986,intertegularDistance,3.84
Euglossini,Euglossa flammea-chalybeata gr,B1265,3990,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,B1266,3994,intertegularDistance,3.55
Euglossini,Euglossa flammea-chalybeata gr,B1267,3998,intertegularDistance,3.66
Euglossini,Euglossa flammea-chalybeata gr,B1268,4002,intertegularDistance,3.63
Euglossini,Euglossa flammea-chalybeata gr,B1269,4006,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,B1270,4010,intertegularDistance,3.7
Euglossini,Euglossa flammea-chalybeata gr,B1271,4014,intertegularDistance,3.8
Euglossini,Euglossa flammea-chalybeata gr,B1272,4018,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,J-0158,6323,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,J-0159,6328,intertegularDistance,3.89
Euglossini,Euglossa flammea-chalybeata gr,J-0167,6289,intertegularDistance,3.1
Euglossini,Euglossa flammea-chalybeata gr,J-0404,6269,intertegularDistance,3.68
Euglossini,Euglossa flammea-chalybeata gr,J-1165,6279,intertegularDistance,3.24
Euglossini,Euglossa flammea-chalybeata gr,J-1873,5452,intertegularDistance,2.9
Euglossini,Euglossa flammea-chalybeata gr,M-0022,2934,intertegularDistance,3.3
Euglossini,Euglossa flammea-chalybeata gr,M-0025,2946,intertegularDistance,3.3
Euglossini,Euglossa flammea-chalybeata gr,M-0026,2950,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,M-0027,2954,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,M-0028,2958,intertegularDistance,3.3
Euglossini,Euglossa flammea-chalybeata gr,M-0029,2962,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,M-0030,2966,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,M-0102,3094,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,M-0103,3098,intertegularDistance,3.7
Euglossini,Euglossa flammea-chalybeata gr,M-0104,3102,intertegularDistance,3.5
Euglossini,Euglossa flammea-chalybeata gr,M-0105,3106,intertegularDistance,3.3
Euglossini,Euglossa flammea-chalybeata gr,M-0106,3110,intertegularDistance,3.5
Euglossini,Euglossa flammea-chalybeata gr,M-0107,3114,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,M-0121,3162,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,M-0125,3166,intertegularDistance,3.6
Euglossini,Euglossa flammea-chalybeata gr,M-0726,3506,intertegularDistance,3.2
Euglossini,Euglossa flammea-chalybeata gr,M-0727,3510,intertegularDistance,3.2
Euglossini,Euglossa flammea-chalybeata gr,M-0728,3514,intertegularDistance,3.5
Euglossini,Euglossa flammea-chalybeata gr,M-0729,3518,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,M-0730,3522,intertegularDistance,3.5
Euglossini,Euglossa flammea-chalybeata gr,M-0731,3526,intertegularDistance,3.3
Euglossini,Euglossa flammea-chalybeata gr,M-0732,3530,intertegularDistance,3.5
Euglossini,Euglossa flammea-chalybeata gr,M-1584,3774,intertegularDistance,3.9
Euglossini,Euglossa flammea-chalybeata gr,M-C-2059,3950,intertegularDistance,3.4
Euglossini,Euglossa flammea-chalybeata gr,B1114,275,proboscisLength,24.3
Euglossini,Euglossa flammea-chalybeata gr,B1159,311,proboscisLength,24.8
Euglossini,Euglossa flammea-chalybeata gr,B1160,315,proboscisLength,25.8
Euglossini,Euglossa flammea-chalybeata gr,B1169,323,proboscisLength,24.1
Euglossini,Euglossa flammea-chalybeata gr,B1264,3987,proboscisLength,19.6
Euglossini,Euglossa flammea-chalybeata gr,B1265,3991,proboscisLength,20.25
Euglossini,Euglossa flammea-chalybeata gr,B1266,3995,proboscisLength,19.42
Euglossini,Euglossa flammea-chalybeata gr,B1267,3999,proboscisLength,20.7
Euglossini,Euglossa flammea-chalybeata gr,B1268,4003,proboscisLength,17.7
Euglossini,Euglossa flammea-chalybeata gr,B1269,4007,proboscisLength,20.5
Euglossini,Euglossa flammea-chalybeata gr,B1270,4011,proboscisLength,19.1
Euglossini,Euglossa flammea-chalybeata gr,B1271,4015,proboscisLength,18.4
Euglossini,Euglossa flammea-chalybeata gr,B1272,4019,proboscisLength,18.6
Euglossini,Euglossa flammea-chalybeata gr,J-0158,6326,proboscisLength,29.13
Euglossini,Euglossa flammea-chalybeata gr,J-0159,6331,proboscisLength,27.13
Euglossini,Euglossa flammea-chalybeata gr,J-0167,6292,proboscisLength,24.43
Euglossini,Euglossa flammea-chalybeata gr,J-0407,6272,proboscisLength,32.48
Euglossini,Euglossa flammea-chalybeata gr,J-1165,6282,proboscisLength,24.03
Euglossini,Euglossa flammea-chalybeata gr,M-0022,2935,proboscisLength,22.1
Euglossini,Euglossa flammea-chalybeata gr,M-0025,2947,proboscisLength,20.9
Euglossini,Euglossa flammea-chalybeata gr,M-0026,2951,proboscisLength,22.1
Euglossini,Euglossa flammea-chalybeata gr,M-0027,2955,proboscisLength,22
Euglossini,Euglossa flammea-chalybeata gr,M-0028,2959,proboscisLength,21.3
Euglossini,Euglossa flammea-chalybeata gr,M-0029,2963,proboscisLength,21.9
Euglossini,Euglossa flammea-chalybeata gr,M-0030,2967,proboscisLength,22.6
Euglossini,Euglossa flammea-chalybeata gr,M-0102,3095,proboscisLength,23.5
Euglossini,Euglossa flammea-chalybeata gr,M-0103,3099,proboscisLength,25.4
Euglossini,Euglossa flammea-chalybeata gr,M-0104,3103,proboscisLength,24.1
Euglossini,Euglossa flammea-chalybeata gr,M-0105,3107,proboscisLength,22.1
Euglossini,Euglossa flammea-chalybeata gr,M-0106,3111,proboscisLength,23.1
Euglossini,Euglossa flammea-chalybeata gr,M-0107,3115,proboscisLength,24.1
Euglossini,Euglossa flammea-chalybeata gr,M-0121,3163,proboscisLength,21.6
Euglossini,Euglossa flammea-chalybeata gr,M-0125,3167,proboscisLength,23.3
Euglossini,Euglossa flammea-chalybeata gr,M-0726,3507,proboscisLength,24.8
Euglossini,Euglossa flammea-chalybeata gr,M-0727,3511,proboscisLength,22.5
Euglossini,Euglossa flammea-chalybeata gr,M-0728,3515,proboscisLength,22.7
Euglossini,Euglossa flammea-chalybeata gr,M-0729,3519,proboscisLength,24.4
Euglossini,Euglossa flammea-chalybeata gr,M-0730,3523,proboscisLength,23.5
Euglossini,Euglossa flammea-chalybeata gr,M-0731,3527,proboscisLength,22.1
Euglossini,Euglossa flammea-chalybeata gr,M-0732,3531,proboscisLength,24.1
Euglossini,Euglossa flammea-chalybeata gr,M-1584,3775,proboscisLength,23.9
Euglossini,Euglossa flammea-chalybeata gr,M-C-2059,3951,proboscisLength,24.5
Euglossini,Euglossa flammea-chalybeata gr,B1114,276,wingLength,10.3
Euglossini,Euglossa flammea-chalybeata gr,B1159,312,wingLength,10.6
Euglossini,Euglossa flammea-chalybeata gr,B1160,316,wingLength,11.1
Euglossini,Euglossa flammea-chalybeata gr,B1169,324,wingLength,10.3
Euglossini,Euglossa flammea-chalybeata gr,B1264,3985,wingLength,10.9
Euglossini,Euglossa flammea-chalybeata gr,B1265,3989,wingLength,10.9
Euglossini,Euglossa flammea-chalybeata gr,B1266,3993,wingLength,9.8
Euglossini,Euglossa flammea-chalybeata gr,B1267,3997,wingLength,10.8
Euglossini,Euglossa flammea-chalybeata gr,B1268,4001,wingLength,10.5
Euglossini,Euglossa flammea-chalybeata gr,B1269,4005,wingLength,10.3
Euglossini,Euglossa flammea-chalybeata gr,B1270,4009,wingLength,11.2
Euglossini,Euglossa flammea-chalybeata gr,B1271,4013,wingLength,10.9
Euglossini,Euglossa flammea-chalybeata gr,B1272,4017,wingLength,11.1
Euglossini,Euglossa flammea-chalybeata gr,J-0158,6324,wingLength,10.48
Euglossini,Euglossa flammea-chalybeata gr,J-0159,6329,wingLength,11.08
Euglossini,Euglossa flammea-chalybeata gr,J-0167,6290,wingLength,10.24
Euglossini,Euglossa flammea-chalybeata gr,J-0405,6270,wingLength,11.62
Euglossini,Euglossa flammea-chalybeata gr,J-1165,6280,wingLength,10.57
Euglossini,Euglossa flammea-chalybeata gr,J-1873,5453,wingLength,10.2
Euglossini,Euglossa flammea-chalybeata gr,M-0022,2933,wingLength,10.2
Euglossini,Euglossa flammea-chalybeata gr,M-0025,2945,wingLength,10.1
Euglossini,Euglossa flammea-chalybeata gr,M-0026,2949,wingLength,10.5
Euglossini,Euglossa flammea-chalybeata gr,M-0027,2953,wingLength,10.5
Euglossini,Euglossa flammea-chalybeata gr,M-0028,2957,wingLength,11.2
Euglossini,Euglossa flammea-chalybeata gr,M-0029,2961,wingLength,10.6
Euglossini,Euglossa flammea-chalybeata gr,M-0030,2965,wingLength,10.6
Euglossini,Euglossa flammea-chalybeata gr,M-0102,3093,wingLength,10.6
Euglossini,Euglossa flammea-chalybeata gr,M-0103,3097,wingLength,11
Euglossini,Euglossa flammea-chalybeata gr,M-0104,3101,wingLength,9.9
Euglossini,Euglossa flammea-chalybeata gr,M-0105,3105,wingLength,10.1
Euglossini,Euglossa flammea-chalybeata gr,M-0106,3109,wingLength,10.4
Euglossini,Euglossa flammea-chalybeata gr,M-0107,3113,wingLength,11
Euglossini,Euglossa flammea-chalybeata gr,M-0121,3161,wingLength,9.8
Euglossini,Euglossa flammea-chalybeata gr,M-0125,3165,wingLength,10
Euglossini,Euglossa flammea-chalybeata gr,M-0726,3505,wingLength,10.5
Euglossini,Euglossa flammea-chalybeata gr,M-0727,3509,wingLength,10.4
Euglossini,Euglossa flammea-chalybeata gr,M-0728,3513,wingLength,10.3
Euglossini,Euglossa flammea-chalybeata gr,M-0729,3517,wingLength,10.9
Euglossini,Euglossa flammea-chalybeata gr,M-0730,3521,wingLength,11.1
Euglossini,Euglossa flammea-chalybeata gr,M-0731,3525,wingLength,9.8
Euglossini,Euglossa flammea-chalybeata gr,M-0732,3529,wingLength,10.7
Euglossini,Euglossa flammea-chalybeata gr,M-1584,3773,wingLength,11.9
Euglossini,Euglossa flammea-chalybeata gr,M-C-2059,3949,wingLength,11
Euglossini,Euglossa flammea-chalybeata gr,J-0105,5555,wingWidth,3.37
Euglossini,Euglossa flammea-chalybeata gr,J-0158,6325,wingWidth,3.21
Euglossini,Euglossa flammea-chalybeata gr,J-0159,6330,wingWidth,3.28
Euglossini,Euglossa flammea-chalybeata gr,J-0167,6291,wingWidth,2.98
Euglossini,Euglossa flammea-chalybeata gr,J-0406,6271,wingWidth,3.68
Euglossini,Euglossa flammea-chalybeata gr,J-1165,6281,wingWidth,3.05
Euglossini,Euglossa flammea-chalybeata gr,J-1165,5378,wingWidth,3.25
Euglossini,Euglossa flammea-chalybeata gr,J-1179,5812,wingWidth,3.16
Euglossini,Euglossa flammea-chalybeata gr,J-1237,5278,wingWidth,3.01
Euglossini,Euglossa flammea-chalybeata gr,J-1238,5282,wingWidth,3.16
Euglossini,Euglossa flammea-chalybeata gr,J-1239,5286,wingWidth,3.28
Euglossini,Euglossa flammea-chalybeata gr,J-1873,5454,wingWidth,2.95
Euglossini,Euglossa gibossa,J-0291,5830,intertegularDistance,2.54
Euglossini,Euglossa gibossa,M-0015,2906,intertegularDistance,3.2
Euglossini,Euglossa gibossa,M-0180,4146,intertegularDistance,3.2
Euglossini,Euglossa gibossa,M-1114,3618,intertegularDistance,2.7
Euglossini,Euglossa gibossa,M-1115,3622,intertegularDistance,2.9
Euglossini,Euglossa gibossa,M-1116,3626,intertegularDistance,2.7
Euglossini,Euglossa gibossa,M-1159,4162,intertegularDistance,3.1
Euglossini,Euglossa gibossa,M-1244,4154,intertegularDistance,3.5
Euglossini,Euglossa gibossa,M-1708,3874,intertegularDistance,3.3
Euglossini,Euglossa gibossa,M-0015,2907,proboscisLength,10.8
Euglossini,Euglossa gibossa,M-0180,4147,proboscisLength,7.7
Euglossini,Euglossa gibossa,M-1114,3619,proboscisLength,12.2
Euglossini,Euglossa gibossa,M-1115,3623,proboscisLength,11.9
Euglossini,Euglossa gibossa,M-1116,3627,proboscisLength,11.3
Euglossini,Euglossa gibossa,M-1159,4163,proboscisLength,8.6
Euglossini,Euglossa gibossa,M-1244,4155,proboscisLength,6.5
Euglossini,Euglossa gibossa,M-1708,3875,proboscisLength,11.1
Euglossini,Euglossa gibossa,J-0291,5831,wingLength,8.32
Euglossini,Euglossa gibossa,M-0015,2905,wingLength,7.7
Euglossini,Euglossa gibossa,M-0180,4145,wingLength,7
Euglossini,Euglossa gibossa,M-1114,3617,wingLength,8.3
Euglossini,Euglossa gibossa,M-1115,3621,wingLength,7.9
Euglossini,Euglossa gibossa,M-1116,3625,wingLength,8.2
Euglossini,Euglossa gibossa,M-1159,4161,wingLength,8.2
Euglossini,Euglossa gibossa,M-1244,4153,wingLength,7.3
Euglossini,Euglossa gibossa,M-1708,3873,wingLength,8.2
Euglossini,Euglossa gibossa,J-0291,5832,wingWidth,2.56
Euglossini,Euglossa gorgonensis,B1045,4066,intertegularDistance,3
Euglossini,Euglossa gorgonensis,J-0008,5348,intertegularDistance,2.72
Euglossini,Euglossa gorgonensis,J-0023,6204,intertegularDistance,2.75
Euglossini,Euglossa gorgonensis,J-0106,5613,intertegularDistance,2.76
Euglossini,Euglossa gorgonensis,J-0239,6199,intertegularDistance,2.54
Euglossini,Euglossa gorgonensis,J-0521,6194,intertegularDistance,2.85
Euglossini,Euglossa gorgonensis,J-0737,6309,intertegularDistance,2.68
Euglossini,Euglossa gorgonensis,J-0738,6313,intertegularDistance,2.59
Euglossini,Euglossa gorgonensis,J-0739,6318,intertegularDistance,2.67
Euglossini,Euglossa gorgonensis,J-1145,6189,intertegularDistance,2.65
Euglossini,Euglossa gorgonensis,J-1148,6249,intertegularDistance,2.69
Euglossini,Euglossa gorgonensis,J-1149,6214,intertegularDistance,3.33
Euglossini,Euglossa gorgonensis,J-1185,6274,intertegularDistance,2.78
Euglossini,Euglossa gorgonensis,J-1194,5368,intertegularDistance,2.42
Euglossini,Euglossa gorgonensis,J-1246,6184,intertegularDistance,2.93
Euglossini,Euglossa gorgonensis,J-1269,6229,intertegularDistance,2.83
Euglossini,Euglossa gorgonensis,J-1615,6234,intertegularDistance,2.51
Euglossini,Euglossa gorgonensis,M-1334,3666,intertegularDistance,2.6
Euglossini,Euglossa gorgonensis,B1045,4067,proboscisLength,12.7
Euglossini,Euglossa gorgonensis,J-0023,6207,proboscisLength,13.05
Euglossini,Euglossa gorgonensis,J-0239,6202,proboscisLength,15.05
Euglossini,Euglossa gorgonensis,J-0521,6197,proboscisLength,13.75
Euglossini,Euglossa gorgonensis,J-0738,6316,proboscisLength,14.22
Euglossini,Euglossa gorgonensis,J-0739,6321,proboscisLength,15.39
Euglossini,Euglossa gorgonensis,J-1145,6192,proboscisLength,14.03
Euglossini,Euglossa gorgonensis,J-1148,6252,proboscisLength,18.36
Euglossini,Euglossa gorgonensis,J-1149,6217,proboscisLength,14.3
Euglossini,Euglossa gorgonensis,J-1185,6277,proboscisLength,14.53
Euglossini,Euglossa gorgonensis,J-1246,6187,proboscisLength,14.91
Euglossini,Euglossa gorgonensis,J-1269,6232,proboscisLength,14.45
Euglossini,Euglossa gorgonensis,J-1615,6237,proboscisLength,13.81
Euglossini,Euglossa gorgonensis,M-1334,3667,proboscisLength,14.2
Euglossini,Euglossa gorgonensis,B1045,4065,wingLength,7.9
Euglossini,Euglossa gorgonensis,J-0008,5349,wingLength,7.17
Euglossini,Euglossa gorgonensis,J-0023,6205,wingLength,7.32
Euglossini,Euglossa gorgonensis,J-0106,5614,wingLength,7.64
Euglossini,Euglossa gorgonensis,J-0239,6200,wingLength,7.92
Euglossini,Euglossa gorgonensis,J-0521,6195,wingLength,6.9
Euglossini,Euglossa gorgonensis,J-0737,6310,wingLength,7.52
Euglossini,Euglossa gorgonensis,J-0738,6314,wingLength,7.82
Euglossini,Euglossa gorgonensis,J-0739,6319,wingLength,7.91
Euglossini,Euglossa gorgonensis,J-1145,6190,wingLength,8.05
Euglossini,Euglossa gorgonensis,J-1148,6250,wingLength,7.76
Euglossini,Euglossa gorgonensis,J-1149,6215,wingLength,8.03
Euglossini,Euglossa gorgonensis,J-1185,6275,wingLength,8
Euglossini,Euglossa gorgonensis,J-1194,5369,wingLength,7.97
Euglossini,Euglossa gorgonensis,J-1246,6185,wingLength,7.62
Euglossini,Euglossa gorgonensis,J-1269,6230,wingLength,7.81
Euglossini,Euglossa gorgonensis,J-1615,6235,wingLength,7.77
Euglossini,Euglossa gorgonensis,M-1334,3665,wingLength,7.7
Euglossini,Euglossa gorgonensis,J-0008,5350,wingWidth,2.22
Euglossini,Euglossa gorgonensis,J-0023,6206,wingWidth,2.25
Euglossini,Euglossa gorgonensis,J-0106,5615,wingWidth,2.34
Euglossini,Euglossa gorgonensis,J-0239,6201,wingWidth,2.48
Euglossini,Euglossa gorgonensis,J-0521,6196,wingWidth,2.33
Euglossini,Euglossa gorgonensis,J-0731,5306,wingWidth,2.25
Euglossini,Euglossa gorgonensis,J-0737,6311,wingWidth,2.31
Euglossini,Euglossa gorgonensis,J-0738,6315,wingWidth,2.62
Euglossini,Euglossa gorgonensis,J-0739,6320,wingWidth,2.48
Euglossini,Euglossa gorgonensis,J-1145,6191,wingWidth,2.33
Euglossini,Euglossa gorgonensis,J-1148,6251,wingWidth,2.28
Euglossini,Euglossa gorgonensis,J-1149,6216,wingWidth,2.45
Euglossini,Euglossa gorgonensis,J-1185,6276,wingWidth,2.32
Euglossini,Euglossa gorgonensis,J-1194,5370,wingWidth,2.26
Euglossini,Euglossa gorgonensis,J-1246,6186,wingWidth,2.32
Euglossini,Euglossa gorgonensis,J-1269,6231,wingWidth,2.38
Euglossini,Euglossa gorgonensis,J-1615,6236,wingWidth,2.32
Euglossini,Euglossa hansoni,B1118,173,intertegularDistance,3.4
Euglossini,Euglossa hansoni,B1383,4050,intertegularDistance,3.3
Euglossini,Euglossa hansoni,J-0109,5649,intertegularDistance,3.04
Euglossini,Euglossa hansoni,J-0214,5456,intertegularDistance,3.1
Euglossini,Euglossa hansoni,J-0214,5641,intertegularDistance,3.24
Euglossini,Euglossa hansoni,J-0955,6024,intertegularDistance,2.98
Euglossini,Euglossa hansoni,J-1575,6054,intertegularDistance,2.94
Euglossini,Euglossa hansoni,M-0110,3126,intertegularDistance,3.2
Euglossini,Euglossa hansoni,M-0127,3174,intertegularDistance,3
Euglossini,Euglossa hansoni,M-0171,4338,intertegularDistance,3.5
Euglossini,Euglossa hansoni,M-0214,4430,intertegularDistance,3.1
Euglossini,Euglossa hansoni,M-0225,4434,intertegularDistance,3.4
Euglossini,Euglossa hansoni,M-0242,4438,intertegularDistance,3.4
Euglossini,Euglossa hansoni,M-0550,3414,intertegularDistance,3
Euglossini,Euglossa hansoni,M-0593,4346,intertegularDistance,3.6
Euglossini,Euglossa hansoni,M-0594,4366,intertegularDistance,3.4
Euglossini,Euglossa hansoni,M-1001,4102,intertegularDistance,3.3
Euglossini,Euglossa hansoni,M-1012,4442,intertegularDistance,3.2
Euglossini,Euglossa hansoni,M-1013,4446,intertegularDistance,3.2
Euglossini,Euglossa hansoni,M-1014,4354,intertegularDistance,3.4
