Plot_ID,Latitude,Longitude,Reassembly,Elevation,Treatment,Treatment2,Regeneration_year,elev_30m_dem,slope,aspect,solar_annual,TWI,TPI,TRI,conv.ind,Forest_1km,Forest_500m,Forest_100m,Forest_1km_JRC_TMF,Distance_forest,Distance_edge,Patch_ha,Cacao_1km,Cacao_Reg1_1km,Cacao_Reg2_1km,Pasture_1km,Pasture_Reg1_1km,Pasture_Reg2_1km,Oil_Palm_1km
CR02,0.50150484,-79.22593494,1,400,cacao regeneration,cacao regeneration early,2015,412.6946106,4.733615416,41.07171897,1855229.5,3.07948041,0.102347,2.783909245,-16.72419507,0.895991028,0.893265233,0.560552882,0.93226602,36.42346323,0,0.946003025,0.007981536,0.00301162,0,0.042462581,0.028721234,0.002383766,0.01948174
CR03,0.50821205,-79.23688265,1,274,cacao regeneration,cacao regeneration early,2018,281.9302979,23.96872778,316.6451033,1689518.625,1.68912077,0.976506796,9.880930825,-12.25421575,0.737336434,0.768260698,0.53068171,0.864195881,33.08483423,0,1.458779104,0.006078268,0.004644053,0,0.039310394,0.135164401,0.040375475,0.037130307
CR04,0.51167917,-79.18947658,1,560,cacao regeneration,cacao regeneration late,2002,547.6621704,9.063493528,154.0786068,1863017.75,14.09181976,-1.775767744,3.9151537,-31.98379819,0.971251414,0.962725896,0.546549509,0.978277648,29.41603101,0,1.8619993,0,0,0.005927712,0.002791237,0.01664005,0.00338958,0
CR05,0.51178371,-79.20359237,1,377,cacao regeneration,cacao regeneration early,2011,372.6736755,9.080525145,205.0839222,1819982.375,17.57983398,-0.889603087,3.995365936,-26.54075622,0.411590463,0.13657452,0.10174733,0.727826401,65.63923036,0,4.790450875,0.10310471,0.015250496,0,0.284014096,0.10158618,0.084656763,0
CR06,0.5206616,-79.21083174,1,397,cacao regeneration,cacao regeneration late,1990,398.4765015,7.426419853,11.06230926,1839557,3.847537756,-1.887704331,3.741537775,-23.75645332,0.411259258,0.366151373,0.343482894,0.770017777,28.96937446,0,0.643334078,0.155208943,0.017342591,0.002048067,0.208487335,0.025756147,0.180407902,0
CR07,0.45898553,-79.20876011,1,168,cacao regeneration,cacao regeneration late,2000,147.6782379,3.662457736,132.6782435,1807021.5,4.036029339,-1.033374696,2.577635419,-20.69414968,0.553770075,0.571264137,0,0.880106463,114.9120538,0,3.755440367,0.036956712,0,0.030121228,0.06369419,0.023651661,0.052334115,0.239472025
CR08,0.4592528,-79.21039418,1,172,cacao regeneration,cacao regeneration late,1996,156.4985809,11.96590177,182.7402341,1779496.25,1.916287422,1.936689774,5.932142,-20.09854277,0.532030468,0.658700718,0.138152328,0.868955827,49.99140008,0,5.706170442,0.036956712,0,0.030121228,0.106187601,0.003784236,0.057978616,0.232941141
CR09,0.47247446,-79.229619,1,159,cacao regeneration,cacao regeneration early,2017,150.9345093,9.692370064,145.9433489,1777458.625,2.803013802,-1.742440823,4.314916408,-13.58596733,0.324256687,0.439749031,0.513991744,0.72512387,39.94555503,0,1.069060008,0.082497909,0.003403374,0,0.112242727,0.288381125,0.20498487,0
CR10,0.4771745,-79.1995872,1,347,cacao regeneration,cacao regeneration late,1999,349.6871948,9.04504811,332.9112257,1823148.125,2.829983473,-0.331284296,3.921758568,-25.76331025,0.966420308,0.918538672,0.515854004,0.985771525,25.04409463,0,1.550152411,0,0,0.009881687,0.006952204,0,0.016745801,0
CR100,0.51851,-79.15507,0,355,cacao regeneration,cacao regeneration early,2014,377.9920044,11.04343186,267.9928214,1796464.125,5.04766655,-3.397058,5.17099,-39.10703183,0.996529316,0.999999954,0.999999829,0.987248137,0,815.6037605,17.17435393,0,0,0,6.54E-06,0,0.003464148,0
CR101,0.47446,-79.23122,0,156,cacao regeneration,cacao regeneration late,2010,147.8919067,8.515810774,168.9384651,1784162.125,4.240327835,-2.573864,4.565256,-13.06697135,0.324881475,0.278532918,0.732553893,0.687588413,0,1.43011176,5.068008497,0.097886204,0.003403374,0,0.121322742,0.302407207,0.165223177,0
CR102,0.52555203,-79.20633797,0,315,cacao regeneration,cacao regeneration late,2009,306.118866,14.29714696,290.5560902,1787085.25,3.388819695,-1.430864092,6.123583454,-25.87062011,0.781883271,0.84255967,0.356036093,0.923766599,33.1329581,0,18.56457458,0.093074233,0.017342591,0.002048067,0.000999044,0,0.104652795,0
CR103,0.53609,-79.18956,0,204,cacao regeneration,cacao regeneration late,2010,220.7735291,14.13188508,24.70297058,1763555.875,4.098613262,-2.4613,6.19974,-32.85171823,0.791772601,0.531115458,0.676607254,0.857908368,0,10.83396832,10.67252448,0.042568075,0,0,0.040707575,0.118054456,0.006905418,0
CR104,0.54322,-79.13206,0,331,cacao regeneration,cacao regeneration early,2015,341.6646423,18.11418915,298.3070348,1763519.25,1.714219809,4.047208,8.20132,-41.07340003,0.939153292,0.977688037,1,0.949992832,0,391.6888068,8.812444222,0,0,0,0.03279211,0.028054593,0,0
CR105,0.518383,-79.155067,0,367,cacao regeneration,cacao regeneration early,2014,378.0351868,10.41837411,299.2222169,1801658.875,5.891483307,-3.58066934,5.1768877,-39.11390361,0.99609437,0.999999959,0.999999849,0.987148686,0,805.6148662,17.17435393,0,0,0,0.000128103,0,0.003777536,0
CR106,0.52463497,-79.212787,0,339,cacao regeneration,cacao regeneration early,2009,339.0951538,15.47949864,67.43639919,1765327.125,7.571960926,-5.731932247,8.640064705,-23.04705337,0.646229558,0.677824983,0.002512809,0.870117807,97.3336533,0,5.44761464,0.11117683,0.017342591,0.002048067,0.08782278,0.012721008,0.122715145,0
CR11,0.47789256,-79.20507128,1,372,cacao regeneration,cacao regeneration late,2000,365.6281738,10.06383343,333.2657326,1821649,2.03890419,2.122716024,5.479306734,-23.64710571,0.899698718,0.913218376,0.631031913,0.956593103,36.46924161,0,1.55386041,0,0,0.013630359,0,0,0.086670923,0
