Plot,Number,Stem,Circumference,Height
PR30,45,B,29.7,10.5
PR30,46,,31.5,9.4
PR30,47,,32.5,11.2
PR30,48,,41.2,12.7
PR30,49,,39.8,13.2
PR30,50,,25.8,7
PR30,51,,28.2,9.9
PR30,52,,98,23.8
PR30,52,A,96,22.4
PR30,53,,118.7,20
PR30,54,,36.5,9.5
PR30,55,,34.8,7
PR30,56,,37.5,4.6
PR30,57,,133.4,23.7
PR30,58,,25,6.8
PR30,59,,28,7.9
PR30,60,,34.2,9.3
PR30,60,A,32,8.5
PR30,61,,35.5,10.2
PR30,62,,29.5,8.3
PR30,63,,51.6,11.5
PR30,64,,29.8,9.1
PR30,65,,31.1,13.3
PR30,66,,61.7,10.7
PR30,67,,43.3,13.4
PR30,68,,46.5,13.6
PR30,69,,67.7,8.8
PR30,70,,29.1,6.9
PR30,71,,41.2,14.6
PR30,72,,28.9,11.7
PR30,73,,84.1,10.8
PR30,74,,35.2,9.5
PR30,75,,31.8,12.9
PR30,76,,25.3,6.9
PR30,77,,78.1,21.7
PR30,78,,43.2,16.5
PR30,79,,34.5,13.1
PR30,80,,43.5,5.9
PR30,81,,74.2,19.2
PR30,82,,67.3,18.8
PR30,83,,28.2,3.3
PR30,84,,25.3,5.9
PR30,85,,31.5,10.2
PR30,85,A,27.2,11
PR30,86,,52.5,15.8
PR30,87,,37.4,10.5
PR30,87,A,27.2,6.2
PR30,88,,39.5,8.4
PR30,89,,31.2,8.4
PR30,89,A,28.6,8.3
PR30,89,B,25.1,8.2
PR30,89,C,27.4,8.2
PR30,90,,27.5,9.8
PR30,91,,21.1,8.9
PR30,92,,39,11.2
PR30,93,,25.4,7.9
PR30,94,,32.7,6.8
PR30,95,,33.1,11.1
PR30,96,,27.6,8.7
PR30,97,,34.2,6.9
PR30,98,,198.3,28.3
PR30,99,,28.1,10.4
PR30,100,,44.7,10.4
PR30,101,,57,16.3
PR30,102,,49.5,15.4
PR30,103,,39,
PR30,104,,102.1,28.9
PR30,105,,25.3,7.2
PR30,106,,51.9,
PR30,107,,102.4,25.3
PR30,108,,25.9,6.8
PR30,109,,35.8,10.3
PR30,110,,31.3,8.4
PR30,111,,30.1,9.2
PR30,112,,30.5,11.2
PR30,113,,42.9,10.5
PR30,114,,114.2,27
PR30,114,A,92.1,25.8
PR30,115,,27.6,6.2
PR30,116,,53.4,16.8
PR30,117,,46.2,18.3
PR30,118,,53.2,14.8
PR30,119,,56.5,17.5
PR30,120,,44.3,15.2
PR30,121,,50.2,16.5
PR30,122,,54,12.6
PR30,123,,34.8,8.5
PR30,124,,90.2,23.7
PR30,124,A,79.3,23.4
PR30,124,B,74.8,20.6
PR30,125,,28.5,7.4
PR31,1,,74.3,10.6
PR31,2,,28.3,10.6
PR31,3,,30,8.8
PR31,4,,51.5,14.6
PR31,5,,40.9,16.9
PR31,6,,143.5,27.3
PR31,7,,30.1,8.2
PR31,8,,30.2,14.7
PR31,9,,26.5,6.1
PR31,10,,390.7,32.2
PR31,11,,28.2,8.6
PR31,12,,25.3,10.7
PR31,13,,37.5,10.7
PR31,14,,32.7,5.8
PR31,15,,29.2,8.2
PR31,16,,29.1,9
PR31,17,,157.6,28.4
PR31,18,,34.1,8.4
PR31,19,,33.2,2.5
PR31,20,,27.5,10.7
PR31,21,,68.3,15.9
PR31,22,,25.1,7.9
PR31,23,,25.3,7
PR31,24,,41.6,13
PR31,25,,29.2,8.9
PR31,26,,36.1,12.5
PR31,27,,25.1,6.1
PR31,28,,40,14.8
PR31,29,,53.2,15.1
PR31,30,,112.7,26.9
PR31,31,,122.9,26.3
PR31,32,,56.2,13.8
PR31,33,,39,8.2
PR31,34,,31,7.3
PR31,35,,30.1,10.7
PR31,36,,75.3,15.4
PR31,37,,32.2,5.7
PR31,38,,30.1,6.5
PR31,39,,52.3,7.1
PR31,40,,68.3,12.8
PR31,41,,52.7,11.9
PR31,42,,47.2,13.9
PR31,43,,39.5,11.9
PR31,44,,25.6,10.7
PR31,45,,38,12
PR31,46,,54.7,14.3
PR31,46,A,42.1,13.7
PR31,46,B,40.9,13.1
PR31,47,,80.3,20.4
PR31,48,,28,7.4
PR31,49,,26.2,8.1
PR31,50,,25.1,5.9
PR31,51,,28.3,9.2
PR31,52,,46.1,9.1
PR31,53,,54.7,13.4
PR31,54,,33.5,6.9
PR31,55,,58.4,16.7
PR31,56,,36.9,13.1
PR31,57,,31.2,13.9
PR31,58,,45.6,12.8
PR31,59,,52.1,15.4
PR31,60,,45.6,5
PR31,61,,116,27.3
PR31,62,,42.3,14
PR31,63,,34.1,9.2
PR31,64,,35.3,10.4
PR31,65,,39.4,12.8
PR31,66,,40,12.4
PR31,67,,44.3,13.1
PR31,68,,35.7,12.5
PR31,69,,31.2,13
PR31,70,,57.4,14.1
PR31,71,,33.1,10.8
PR31,72,,50.2,14.4
PR31,73,,102.5,19
PR31,74,,35.1,7.6
PR31,75,,30.3,7.2
PR31,76,,85.7,20.4
PR31,77,,34,13.9
PR31,78,,84.6,22.3
PR31,79,,48.1,11.5
PR31,79,A,37,10.6
PR31,80,,52.5,15.3
PR31,81,,31.3,6.3
PR31,82,,139.9,24.1
PR31,83,,40.3,12.2
PR31,84,,30.2,10
PR31,85,,46.4,11.6
PR31,86,,25.4,8.6
PR31,87,,81.7,21.7
PR31,88,,37.6,10.6
PR31,89,,111.4,26.1
PR31,90,,33.2,11.1
PR31,91,,25.1,8
PR31,92,,297.4,34.9
PR31,93,,115.6,18.9
PR31,94,,35.1,15.1
PR31,95,,34,9.6
PR31,96,,37,7.7
PR31,97,,44.6,12.8
PR31,98,,38.1,7.5
PR31,98,A,28.4,9.1
PR31,99,,35.2,10.1
PR31,100,,91.7,17.9
PR31,101,,33.4,8.4
PR31,102,,45.1,11.3
PR31,103,,106.2,18.8
PR31,104,,147.2,22.9
PR31,105,,25.1,7.4
PR31,106,,56.7,14.3
PR31,107,,52.3,13.9
PR31,108,,55.2,15.8
PR31,109,,68.3,17.3
PR31,110,,29.6,5
PR31,111,,39.2,8.4
PR31,112,,53.7,12.5
PR31,113,,87.2,20.6
PR31,114,,28.3,6.5
PR31,115,,28.6,10.3
PR31,116,,52.1,14.9
PR31,117,,58.4,17.4
PR31,118,,26.1,10.5
PR31,119,,92.7,19.8
PR31,120,,55.4,17.9
PR31,120,A,62.2,17.5
PR31,120,B,61.4,17.3
PR31,121,,28.1,11.5
PR31,122,,63.4,11.8
PR31,123,,32.1,12.4
PR31,124,,62.3,14.4
PR31,125,,31,5.2
PR31,126,,39.4,13.6
PR31,127,,30.3,11.3
PR31,128,,39.9,13.2
PR31,129,,30.1,7.1
PR31,130,,39.4,12.5
PR31,131,,48.1,11.8
PR31,132,,26.3,6.2
PR31,133,,87.4,17.4
PR32,1,,39.2,11.2
PR32,1,A,36,10.8
PR32,2,,30.4,12.3
PR32,3,,88.1,17.4
PR32,3,A,82,13.5
PR32,4,,96.2,18.4
PR32,5,,28,10.9
PR32,6,,52.5,14.8
PR32,7,,110.2,17.7
PR32,8,,27.2,9.8
PR32,9,,65.5,13.1
PR32,10,,60.2,11.6
PR32,10,A,56.8,12.4
PR32,11,,35.5,9.1
PR32,12,,31.4,10.9
PR32,12,A,34.2,10.5
PR32,12,B,32.5,10
PR32,12,C,32,9.9
PR32,13,,70.5,15.8
PR32,14,,34.1,10.2
PR32,15,,69.2,12.9
PR32,16,,54.5,15.1
PR32,17,,50.3,10.7
PR32,18,,30.2,8.5
PR32,19,,26.5,9.8
PR32,20,,25.1,5
PR32,21,,28.5,7.8
PR32,22,,27.2,7.5
PR32,23,,37.7,10.3
PR32,24,,53,13.8
PR32,24,A,43.2,13
PR32,24,B,36.5,12.9
PR32,25,,30.1,5.3
PR32,26,,104.2,15.4
PR32,26,A,57.8,12.1
PR32,27,,37.5,10
PR32,28,,31.2,8.5
PR32,29,,46.2,7.5
PR32,30,,34.7,11.1
PR32,30,A,27.1,10.8
PR32,31,,37.5,11.3
PR32,32,,26.1,5.3
PR32,33,,26,7.6
PR32,34,,25.5,6.8
PR32,35,,36.5,8.8
PR32,36,,41.2,10.6
PR32,37,,81.3,19.4
PR32,38,,65.2,18.3
PR32,39,,25.3,6
PR32,40,,37.3,8.4
PR32,41,,25.5,6.5
PR32,42,,27,5.8
PR32,43,,35.5,6.9
PR32,44,,34.3,10.9
PR32,44,A,25.2,4.8
PR32,45,,28.5,6.9
PR32,46,,95.5,18.3
PR32,47,,48.5,12.5
PR32,48,,39.2,11.5
PR32,49,,29,8.3
PR32,50,,26,8
PR32,51,,27.2,7.1
PR32,52,,42.3,7.4
PR32,53,,34.1,
PR32,54,,34.5,3.9
PR32,55,,45.3,6.5
PR32,56,,66.5,16.8
PR32,57,,79.3,17.8
PR32,58,,63.4,17.8
PR32,59,,36,15.3
PR32,60,,28.5,5.9
PR32,61,,64.3,15.4
PR32,62,,150.9,23.4
PR32,63,,96.5,19.3
PR32,64,,106.3,19.8
PR32,65,,37.5,12
PR32,65,A,28.3,11.2
PR32,65,B,27.5,9.9
PR32,66,,170,25.9
PR32,67,,89,21
PR32,68,,29,6.9
PR32,69,,50.5,12.5
PR32,70,,52,
PR32,71,,40.3,13.5
PR32,72,,33.4,6.5
PR32,73,,107,18
PR32,74,,78,12.8
PR32,75,,60.5,13.5
PR32,75,A,41,11.8
PR32,75,B,34.5,10.9
PR32,76,,31,6.7
PR32,77,,37.4,13.1
PR32,78,,30.1,9.8
PR32,79,,36.5,9.8
PR32,80,,34.2,6.3
PR32,81,,32.1,7.6
PR32,82,,41.3,10.5
PR32,83,,41,9.5
PR32,84,,26.1,7
PR32,85,,32.5,10.6
PR32,86,,50.7,13.1
PR32,87,,80.3,16.6
PR32,88,,28.1,5.9
PR32,89,,32.4,8
PR32,90,,32.9,10.2
PR32,91,,33.5,6.6
PR32,92,,62.3,14.1
PR32,92,A,38.5,7.4
PR32,93,,48.5,13.1
PR32,94,,35,12.2
PR32,95,,31.2,10.3
PR32,96,,28,7.5
PR32,97,,98.9,14.5
PR32,98,,35.4,7.5
PR32,99,,38.5,8.1
PR32,100,,25.2,7.1
PR32,101,,28.3,7
PR32,102,,26.2,7.3
PR32,103,,27.3,7.5
PR32,104,,66.5,12
PR32,105,,30.2,9.8
PR32,106,,35,11.9
PR32,107,,33.2,10.8
PR33,1,,66.2,10
PR33,2,,31.5,7.4
PR33,3,,34.3,8.1
PR33,4,,40.5,8
PR33,5,,30.1,6.5
PR33,6,,26.3,9.3
PR33,7,,25.9,6.9
PR33,8,,35.2,6.7
PR33,9,,32.7,6.5
PR33,10,,64.3,9.9
PR33,11,,40.1,6.5
PR33,12,,56.3,7
PR33,13,,49.5,9
PR33,14,,41.2,8.3
PR33,15,,38.5,7.1
PR34,1,,46.5,14.3
PR34,2,,26,6.9
PR34,3,,30.2,7.5
PR34,4,,28.7,8.7
PR34,5,,25.5,6.8
PR34,6,,43.5,15.4
PR34,7,,50.3,19.6
PR34,8,,48.1,16.2
PR34,9,,25.2,5.9
PR34,10,,32.4,9.7
PR34,11,,41.1,10.8
PR34,13,,28.1,4.7
PR34,14,,154.2,28.9
PR34,15,,48.5,11.7
PR34,16,,87.3,18.4
PR34,17,A,62.8,13.7
PR34,17,B,44.1,12.1
PR34,18,,65.8,13.4
PR34,19,,49.6,16.5
PR34,20,,70.5,10.3
PR34,21,,45.3,11.2
PR34,22,,28.1,10.6
PR34,23,,36.2,11.1
PR34,24,,36.9,9
PR34,26,,85.1,17.2
PR34,27,,63.3,14.9
PR34,28,,34.5,9.5
PR34,29,,67.5,17.5
PR34,30,,118.6,23.1
PR34,31,,28.5,8.3
PR34,32,,35.7,9.5
PR34,33,,37.5,11.2
PR34,34,,28.1,6.5
PR34,35,,29.5,6.9
PR34,36,,52.1,15.4
PR34,37,,88.2,20.1
PR34,39,,65.5,6.2
PR34,40,,67.3,18.5
PR34,41,,28,10.5
PR34,42,,35.5,11.9
PR34,43,,32,9.1
PR34,44,,32.7,10.7
PR34,45,A,40.3,13.5
PR34,45,B,36.1,11.2
PR34,46,,46.2,14.3
PR34,47,,82.3,19.5
PR34,48,,110.1,24.5
PR34,49,,40.3,10.7
PR34,50,,115.1,25.6
PR34,51,,68.4,17.3
PR34,52,,44.5,14.1
PR34,53,,38.3,13.8
PR34,54,,171.5,27.9
PR34,55,,86.3,19.5
PR34,56,,28.2,11.3
PR34,57,,67.4,15.7
PR34,58,,76.5,13.1
PR34,59,,30.4,5.2
PR34,60,,127.8,29.4
PR34,61,A,60.3,12.6
PR34,61,B,49.1,11.1
PR34,62,,58.3,7.8
PR34,63,,43.5,13.7
PR34,64,,30.3,12.4
PR34,65,,43.9,16.2
PR34,66,,26.3,10.4
PR34,67,A,69.3,16.6
PR34,67,B,53.9,14.3
PR34,68,,28.3,9.1
PR34,69,,45.6,13.9
PR34,70,,41.2,11.7
PR34,71,,25.5,9.1
PR34,72,,70.2,18.6
PR34,73,,90.3,20.1
PR34,74,,64.5,12.4
PR34,75,,48.1,10.6
PR34,76,,96.2,20.5
PR34,77,,58.3,16.3
PR34,78,,43.2,6.9
PR34,79,,49.1,11.8
PR34,80,,31.2,7.6
PR34,81,,58.4,16.4
PR34,82,,45.7,19.2
PR34,83,,54.7,16.8
PR34,84,,93.1,22.8
PR34,85,,42.3,10.3
PR34,86,,39.7,11.1
PR34,87,A,47.3,12.5
PR34,87,B,45.1,14.3
PR34,88,,31.6,9.5
PR34,89,,45.7,12.9
PR34,90,,59.3,15.6
PR34,91,,56.6,14.9
PR34,92,,95.4,20.1
PR34,93,,33.1,6.5
PR34,94,,63.6,16.3
PR34,95,,67.5,16.6
PR34,96,,34.3,7.3
PR34,97,,52.2,13.9
PR34,98,A,35.3,10.7
PR34,98,B,33.1,10.3
PR34,99,,135.9,26.8
PR34,100,,44.4,5.1
PR34,101,,30.3,8.4
PR34,102,,46.5,15.5
PR34,103,,32.8,11.7
PR34,104,,27.2,5.2
PR34,105,A,89.7,18.9
PR34,105,B,29.3,10
PR34,106,,29.7,6.3
PR34,107,,70.6,17.1
PR34,108,,25.9,6.4
PR34,109,,64.5,64.5
PR34,110,,38.7,10.6
PR34,111,,39.1,10.8
PR34,112,,33.7,6.3
PR34,113,,50.5,19.5
PR34,114,,62.3,4.7
PR34,115,,47.5,11.2
PR34,116,A,45.4,10.9
PR34,116,B,39.2,10.1
PR34,117,,71.1,16.3
PR34,118,A,29.5,6.2
PR34,118,B,25.6,5
PR34,119,,27,9.6
PR34,120,A,75.3,18.3
PR34,120,B,29.2,6.7
PR34,121,,48.5,14.4
PR34,122,,40.1,13.9
PR34,123,,31.3,10.7
PR34,124,,54.5,15.2
PR34,125,,58.1,19.5
PR34,126,,60.9,12.9
PR34,127,A,52.6,8.5
PR34,127,B,31.5,4.3
PR34,128,,42.5,12.6
PR34,129,A,51.7,13.1
PR34,129,B,25.5,9.4
PR34,130,,69.7,14
PR34,131,,205.9,27.8
PR34,132,,27.5,7.2
PR34,133,,88.4,19.4
PR34,134,,38.5,10.3
PR34,135,,57.2,13.7
PR34,136,,67.5,10.9
PR34,137,,58.7,20.1
PR34,138,,78.4,19.3
PR34,139,,39.1,12.5
PR34,14,,44.9,12.9
PR34,141,,30.8,11.1
PR34,142,,85.4,19.7
PR34,143,,40.4,10.9
PR34,144,,83.1,13.5
PR34,145,,87.1,20.3
PR34,146,A,35.4,13.8
PR34,146,B,35.2,13.5
PR34,147,,65.3,15.3
PR34,148,,85.2,20.1
PR34,149,,61.3,14.7
PR34,150,,99.5,16.5
PR34,151,,36.1,11.1
PR34,152,,28.2,9.7
PR34,153,,27.6,4.3
PR34,154,,41.9,15.5
PR34,155,A,51.3,9.3
PR34,155,B,43.8,8.7
PR34,156,,92.3,21
PR34,157,,100.2,21.4
PR34,158,,83.4,20
PR34,159,,38.2,10.9
PR34,160,,33.5,9.3
PR34,161,,47.5,47.5
PR34,162,,29.2,29.2
PR34,163,A,55.8,55.8
PR34,163,B,42.1,42.1
PR34,163,C,37.1,37.1
PR34,164,,39.6,39.6
PR34,165,,50.3,50.3
PR34,166,,43.1,43.1
PR34,167,,31.8,31.8
PR34,168,,33.5,33.5
PR34,169,,385.7,38.5
PR34,170,,52.2,52.2
PR34,171,,38.7,38.7
PR34,172,,46.4,46.4
PR34,173,,37.3,37.3
PR34,174,,63.9,63.9
PR34,175,,105.2,10.5
PR34,176,,45.9,7.6
PR34,177,,82.7,14.8
PR34,178,,25.4,6.7
PR34,179,,78.1,16.5
PR34,180,A,70.3,11.2
PR34,180,B,39.3,7
PR34,181,,28.7,9.9
PR34,182,A,39.2,10
PR34,182,B,28.3,9.2
PR34,183,,46.4,10.5
PR34,184,,81.6,15.8
PR34,185,,41.1,12.1
PR34,186,,60.5,13.7
PR34,187,,54.6,12.2
PR36,1,,43.2,13.3
PR36,2,,43.5,9.8
PR36,3,A,67.8,12.4
PR36,3,B,44.3,10.7
PR36,4,,28.2,5.6
PR36,5,,89.1,16.1
PR36,6,,38.6,12.9
PR36,7,,79.5,15.8
PR36,8,A,39.3,13.1
PR36,8,B,37.8,11.9
PR36,8,C,30.3,10
PR36,9,,47.7,17.2
PR36,10,,43.6,14.5
PR36,11,,78.5,18
PR36,12,A,83.8,18.9
PR36,12,B,83.3,18.3
PR36,13,,65.1,16.5
PR36,14,,58,15.1
PR36,15,A,68.5,17.3
PR36,15,B,57.2,15.6
PR36,16,,122.5,18.9
PR36,17,,50.1,16.7
PR36,18,,50.3,16.3
PR36,19,,58.7,16.9
PR36,20,,34.1,12.1
PR36,21,,30.9,6.8
PR36,22,A,30.5,6.5
PR36,22,B,27.3,5.7
PR36,23,,60.3,16.4
PR36,24,,60.3,17.3
PR36,25,,40.1,12.5
PR36,26,,66.2,14.3
PR36,27,,41.4,11.9
PR36,28,,35.6,13.4
PR36,29,,44.1,7.7
PR36,30,,31.7,8.5
PR36,31,,86.5,19.2
PR36,32,,72.1,15.4
PR36,33,,64.9,3.2
PR36,34,,50.5,15.5
PR36,35,,59.3,15.9
PR36,36,A,43.3,5.6
PR36,36,B,33.7,5.5
PR36,37,,30.1,6.8
PR36,38,,25.6,7.5
PR36,39,,68.5,15.2
PR36,40,,41.2,11.3
PR36,41,,26.5,10
PR36,42,,81.2,19.4
PR36,43,,92.1,20.8
PR36,44,,30.2,10.8
PR36,45,,37.4,8.5
PR36,46,,29.6,8.1
PR36,47,,30.8,3.8
PR36,48,,47.2,13.2
PR36,49,,86.7,19
PR36,50,,54.1,15.6
PR36,51,,50.4,15.1
PR36,52,A,94.5,20.3
PR36,52,B,45.6,15.6
PR36,53,,97.3,20.9
PR36,54,,49.9,15.8
PR36,55,,37.2,5.1
PR36,56,,45.3,12.5
PR36,57,,86.5,18
PR36,58,,57.3,15.2
PR36,59,A,34.4,10.5
PR36,59,B,28.6,9.6
PR36,60,,49.1,13.8
PR36,61,,34.2,7.2
PR36,62,,75.5,18.1
PR36,63,,95.3,20.4
PR36,64,,34.1,4.9
PR36,65,,33.5,4.6
PR36,66,,61.7,14.3
PR36,67,,54.5,16.7
PR36,68,,75.4,17.9
PR36,69,,98.7,20.5
PR36,70,,69.9,17.6
PR36,71,A,84.3,18.5
PR36,71,B,49.2,13.7
PR36,72,A,56.6,15.1
PR36,72,B,41.2,13.2
PR36,73,,54.2,17.6
PR36,74,,26.6,9.3
PR36,75,,93.9,19.8
PR36,76,,26.3,9.4
PR36,77,A,49.1,15.5
PR36,77,B,38.6,9.3
PR36,78,,62.7,17.8
PR36,79,,36.1,11.5
PR36,80,,59.3,18.1
PR36,81,,38.2,13.6
PR36,82,,44.1,14.9
PR36,83,,26.1,12.3
PR36,84,,34.9,2.1
PR36,85,,28.6,3.3
PR36,86,A,103.9,19.7
PR36,86,B,89.2,17.5
PR36,87,,31.3,10.3
PR36,88,,66.5,15.1
PR36,89,,34.8,11.3
PR36,90,,37.4,13.4
PR36,91,,40.3,13.6
PR36,92,,106.1,19.2
PR36,93,,27.2,11.1
PR36,94,,140.4,17.9
PR36,95,A,36.6,10.3
PR36,95,B,34.3,9.8
PR36,96,,46.5,13.5
PR36,97,,97.4,16.7
PR36,98,,52.1,10.9
PR36,99,,105.3,22.3
PR36,100,,50.2,14.1
PR36,101,,48.1,14.9
PR36,102,,26.1,13.5
PR36,103,,68.4,16.2
PR36,104,,39.8,15.8
PR36,105,,58.3,18.1
PR36,106,,54.5,17.7
PR36,107,A,56.5,17.9
PR36,107,B,49.3,17.3
PR36,107,C,41.5,16.9
PR36,108,,60.2,19.4
PR36,109,,66.6,18.1
PR36,110,,31.8,9.7
PR36,111,,60.1,18.3
PR36,112,,40.9,14.5
PR36,113,,61.2,19.7
PR36,114,,55.9,16.8
PR36,115,,35.7,14.2
PR36,116,,70.1,19.5
PR36,117,,49.3,16.1
PR36,118,,32.1,13
PR36,119,,52.9,16.9
PR36,120,,63.3,19.3
PR36,121,,60.1,18.1
PR36,122,A,69.9,18
PR36,122,B,57.5,16.9
PR36,123,,34.1,13.3
PR36,124,,73.2,17.4
PR36,125,A,40.2,15.1
PR36,125,B,40.4,14.8
PR36,126,,43.5,15.3
PR36,127,,36.7,17
PR36,128,,89.2,19.4
PR36,129,,40.3,14.9
PR36,130,,68.5,16.2
PR36,131,,55.6,17.5
PR36,132,,84.3,18.9
PR36,133,A,78.1,18.8
PR36,133,B,72.1,17.9
PR36,134,,37.6,13.5
PR36,135,,35.1,12.1
PR36,136,,47.3,14.7
PR36,137,,83.5,19.2
PR36,138,,31.4,3.4
PR36,139,,87.2,19.9
PR36,140,A,90.9,18.7
PR36,140,B,73.4,17
PR36,141,,41.2,14.5
PR36,142,,50.3,16.7
PR36,143,,52.1,16.9
PR36,144,,44.3,15.1
PR36,145,,65.8,15.5
PR36,146,,53.6,15.3
PR36,147,,43.1,9.9
PR36,148,,26.1,10.6
PR36,149,,46.6,16.4
