sp_ageF,sp_ageF_b,toughness_N,thickness_mm,SLA,LDMC,coment
Inga_sp5_old_CR,Inga_silanchensis_old_CR,2.313333333,0.154125,25.93194366,316.6039172,
Inga_sp8_AC,Inga_sp8_AC,5.020666667,0.2291,18.03334946,387.0254856,
Inga_sp8_OG,Inga_sp8_OG,2.0285,0.140375,31.57985893,292.9691979,
Inga_sp8_old_CR,Inga_sp8_old_CR,1.625555556,0.115,29.98316947,272.8593043,
Inga_sp8_old_PR,Inga_sp8_old_PR,2.801041667,0.1060625,25.04520278,424.0087682,
Inga_sp9_OG,Inga_sp9_OG,1.337222222,0.249166667,35.1943364,308.9856083,
Inga_venusta_old_CR,Inga_venusta_old_CR,2.741574074,0.142055556,17.09131656,331.1304706,
Inga_venusta_old_PR,Inga_venusta_old_PR,3.161458333,0.172625,16.78273997,343.852938,
Iriartea_deltoidea_OG,Iriartea_deltoidea_OG,8.226222222,0.193275,19.59419256,237.8919109,
Iriartea_deltoidea_old_CR,Iriartea_deltoidea_old_CR,11.96555556,0.206,16.06982954,415.5808848,
Iriartea_deltoidea_young_CR,Iriartea_deltoidea_young_CR,11.93416667,0.237875,17.28261938,276.6458535,
Isertia_pittieri_old_PR,Isertia_pittieri_old_PR,1.630833333,0.138791667,15.54846578,281.7268453,
Matisia_longipes_OG_&_Morph075_OG,Matisia_palenquiana_OG,1.866157408,0.144763889,33.89078509,270.9700193,
Matisia_longipes_old_CR,Matisia_palenquiana_old_CR,1.422222222,0.076208333,43.60229447,293.788539,
Melas_cafe_young_CR,Melas_cafe_young_CR,2.04,0.1354,23.29429992,290.8364855,
Melas_extra_separated_nerve_OG,Miconia_laxivenula_OG,1.701111111,0.207583333,26.08264284,245.2849481,
Melas_serrated_young_CR,Melas_serrated_young_CR,2.123833333,0.123858333,36.13655709,256.270711,
Melas003_young_CR,Miconia_affinis_young_CR,1.685833333,0.122166667,25.00890081,223.2986693,
Melastomatacea_big_round_leaves,,,,,,
Miconia_centronioides_young_PR,Miconia_affinis_young_PR,1.164666667,0.1594,14.41069616,356.3050247,
Miconia_conocuatrecasii_young_PR,Miconia_conocuatrecasii_young_PR,1.870833333,0.153208333,29.81766327,255.1924903,
Moraceae_sp1_OG,Moraceae_sp1_OG,3.467777778,0.143166667,23.46939671,331.8645482,
Moraceae_sp1_young_CR,Moraceae_sp1_young_CR,4.089166667,0.165375,19.38856856,348.8330497,
Moraceae_sp2_OG,Moraceae_sp2_OG,2.815833333,0.14525,27.48624834,250.2311129,
MoraceaeCR14_old_CR,Moraceae_old_CR,2.382222222,0.084166667,39.93126469,217.4343859,
Morph005_old_PR,Morph005_old_PR,2.541666667,0.160666667,20.21701073,439.233728,
Morph005_OG,Morph005_OG,2.541666667,0.160666667,20.21701073,439.233728,same as old PR
Morph010r_OG_&_Morph073_OG,Heisteria_sp_OG,2.986805556,0.151152778,27.00979641,322.1170611,
Morph011_OG,Morph011_OG,2.9375,0.111375,22.06845619,337.8234647,
Morph024_old_CR,Morph024_old_CR,2.551,0.1748,35.23009075,117.5521272,
Morph042_OG,Cestrum_schlechtendalii_OG,2.357333333,0.1421,23.73167623,357.2147125,
Morph043_OG,Gloeospermum_grandifolium_OG,2.369944444,0.124041667,33.28119192,312.2983905,
Morph051_OG,Jacaranda_copaia_OG,1.235185185,0.120416667,36.88405277,328.9409796,
Morph051_young_CR,Jacaranda_copaia_young_CR,1.396111111,0.093,32.57421875,261.7678468,
Morph053_young_PR,Morph053_young_PR,2.595583333,0.124825,38.06558603,264.4224447,
Morph055_old_PR,Morph055_old_PR,2.500972222,0.127020833,36.66487947,267.6298211,
Morph056_OG,Morph056_OG,1.941111111,0.171666667,30.41248985,267.7930401,
Morph064_OG,Morph064_OG,3.127055556,0.208966667,28.4455786,177.7766134,
Morph064_old_CR,Morph064_old_CR,3.854722222,0.201166667,28.35586497,174.3090726,
Morph064?_young PR,Morph064?_young PR,3.490888889,0.205066667,28.40072178,176.042843,
Morph076_old_CR_&_Protium_ecuadorense_old_CR,Protium_sp1_old_CR,2.534777778,0.134363889,23.80554008,410.4931629,
Morph076_young_CR_&_Protium_ecuadorense_young_CR,Protium_sp1_young_CR,2.284,0.1347,24.94193693,352.3144242,
Morph080_AC,Tapirira_guianensis_AC,1.871944444,0.114666667,34.36010802,244.9866116,
Morph083_old_PR,Ocotea_sp5_old_PR,2.188611111,0.155666667,26.89973492,295.1702669,
Morph095_OG,Anacardiaceae_sp_ITV3727_OG,2.48575,0.1246625,30.0726842,307.9500673,
Morph100_young_PR,Annona_papilionella_young_PR,2.362222222,0.1455,35.33229895,251.1890147,
Morph112_old_CR,Morph112_old_CR,1.57,0.283,27.22933294,150.9273183,
Morph117_OG,Couepia_subcordata_OG,3.98,0.462625,15.5460617,240.5035974,
Morph118_old_CR,Sorocea_sarcocarpa_old_CR,1.983888889,0.128,26.93180729,333.1243303,
Morph121_young_CR,Morph121_young_CR,1.736944444,0.113125,46.63276707,217.1871975,
Morph125_AC,Bunchosia_argentea_AC,3.055,0.170833333,33.53109391,183.8540779,
Morph129_OG,Allophylus_dodsonii_OG,2.27,0.088,33.78851086,360.1604947,
NewMorphTag6019_OG,Morph144_OG,1.348240741,0.106180556,46.58707073,246.9364563,
NewMorphTag6020_OG,Morph153_OG,2.386944444,0.135416667,21.16060086,337.3778391,
NewMorphTag7363CR14_old_CR,Cestrum_schlechtendalii_old_CR,2.906805556,0.114625,25.34675413,298.2201673,
NewMorphTag7372OG52_OG,Morph149_OG,3.013888889,0.133833333,33.00199329,267.0240981,
Otoba_novogranatensis_AC,Otoba_novogranatensis_AC,2.769444444,0.216833333,18.78762671,253.5861033,
Otoba_novogranatensis_OG,Otoba_novogranatensis_OG,3.134444444,0.223833333,17.52473902,228.1039281,
Otoba_novogranatensis_old_CR,Otoba_novogranatensis_old_CR,3.982986111,0.237833333,14.533148,225.6330718,
Otoba_novogranatensis_young_PR,Otoba_novogranatensis_young_PR,3.342777778,0.16,15.76385477,289.1867129,
Otoba_sp2_OG,Otoba_sp2_OG,2.521296296,0.164622222,28.29245062,211.8308826,
Pajaro_sp2_OG,Pajaro_sp2_OG,0.977916667,0.138354167,48.96818193,227.3294085,
Pajaro_OG,Pajaro_OG,1.649444444,0.108833333,31.35042097,327.0415799,
Pajaro_old_PR,Pajaro_old_PR,1.58,0.10275,35.25817839,336.395622,
Palicourea_palenquensis_old_CR,Palicourea_palenquensis_old_CR,2.820666667,0.142375,20.83190513,178.7365111,
Perebea_xanthochyma_OG,Perebea_xanthochyma_OG,1.951148148,0.151056944,30.59737427,296.4228505,
Perebea_xanthochyma_old_CR,Perebea_xanthochyma_old_CR,1.912916667,0.13859375,27.31803104,325.0667378,
Perebea_xanthochyma_old_PR,Perebea_xanthochyma_old_PR,1.821277778,0.139019444,24.8427476,324.9260921,
Perebea_xanthochyma_young_CR,Perebea_xanthochyma_young_CR,3.09,0.157416667,17.06001718,339.9929222,
Plinia_sp1_OG,Faramea_langlassei_OG,3.236711111,0.124923333,23.1997108,339.7543945,
Plinia_sp1_old_PR,Faramea_langlassei_old_PR,2.406333333,0.145105556,25.10005486,276.1418436,
Plinia_sp2_old_PR,Psychotria_old_PR,2.83,0.173375,24.31668695,205.3864375,
Pourouma_bicolor_OG,Pourouma_bicolor_OG,1.868333333,0.1616875,36.54346584,274.846915,
Pourouma_bicolor_old_CR,Pourouma_bicolor_old_CR,2.075555556,0.122,21.54417276,244.339023,
