sp_ageF,plot,subplot,tag_number,species,status,index,toughness_N,thickness_mm,SLA,LDMC
Brosimum_sp1_OG,OG42,FU1,6072,Brosimum_sp1,sapling,3381,2.471444444,0.165583333,23.7878712,319.8410824
Brosimum_sp1_OG,OG52,FD3,5116,Brosimum_sp1,alive,4608,2.471444444,0.165583333,23.7878712,319.8410824
Brosimum_sp1_OG,OG52,FU1,1265,Brosimum_sp1,alive,4570,2.471444444,0.165583333,23.7878712,319.8410824
Brosimum_sp1_OG,OG51,UU2,7582,Brosimum_sp1,alive,5108,2.471444444,0.165583333,23.7878712,319.8410824
Brosimum_sp1_OG,OG39,FU3,3010,Brosimum_sp1,alive,3451,2.471444444,0.165583333,23.7878712,319.8410824
Brosimum_sp1_old_CR,CR08,UU2,7552,Brosimum_sp1,alive,4997,2.9325,0.177875,27.95813149,271.9332746
Brosimum_sp1_old_PR,PR26,UU2,1149,Brosimum_sp1,alive,3745,2.5175,0.1078125,26.79606823,300.5742167
Brosimum_sp1NA,OG28,UU3,7655,Brosimum_sp1,alive,5062,NA,NA,NA,NA
Brosimum_sp1NA,OG28,UU2,7651,Brosimum_sp1,alive,5031,NA,NA,NA,NA
Brunfelsia_dwyeri_OG,OG41,UD1,4235,Brunfelsia_dwyeri,alive,4001,NA,NA,NA,NA
Brunfelsia_dwyeri_young_CR,CR17,FD2,3074,Brunfelsia_dwyeri,alive,4687,NA,NA,NA,NA
Bunchosia_argentea_AC,CA63,FU1,3044,Bunchosia_argentea,alive,4537,3.055,0.170833333,33.53109391,183.8540779
Bunchosia_argentea_AC,CA63,UU2,3043,Bunchosia_argentea,sapling,4536,3.055,0.170833333,33.53109391,183.8540779
Bunchosia_argentea_OG,OG44,UU3,7450,Bunchosia_argentea,alive,4951,NA,NA,NA,NA
Carapa_megistocarpa_old_CR,CR14,UD3,2088,Carapa_megistocarpa,alive,4758,NA,NA,NA,NA
Casearia_mariquitensis_OG,OG49,FU1,1205,Casearia_mariquitensis,alive,4529,NA,NA,NA,NA
Castilla_elastica_AC,CA63,FU1,1259,Castilla_elastica,alive,4539,NA,NA,NA,NA
Castilla_elastica_OG,OG41,UD1,4234,Castilla_elastica,alive,4000,NA,NA,NA,NA
Castilla_elastica_OG,OG41,UD2,7305,Castilla_elastica,alive,4043,NA,NA,NA,NA
Castilla_elastica_OG,OG41,FD1,7327,Castilla_elastica,alive,4402,NA,NA,NA,NA
Castilla_elastica_OG,OG41,FD2,5096,Castilla_elastica,alive,4015,NA,NA,NA,NA
Castilla_elastica_OG,OG49,FD3,2039,Castilla_elastica,alive,4592,NA,NA,NA,NA
Castilla_elastica_OG,OG42,UU4,7285,Castilla_elastica,alive,3786,NA,NA,NA,NA
Castilla_elastica_old_CR,CR10,FD1,7202,Castilla_elastica,alive,3970,NA,NA,NA,NA
Castilla_elastica_old_CR,CR10,FD3,7204,Castilla_elastica,alive,3799,NA,NA,NA,NA
Cecropia_insignis_OG,OG42,UU2,4187,Cecropia_insignis,sapling,3355,NA,NA,NA,NA
Cecropia_sp_OG,OG52,UD3,6023,Cecropia_sp,alive,4614,1.19,0.068666667,47.21002305,205.9962777
Cecropia_sp_OG,OG52,UD2,6024,Cecropia_sp,alive,4544,1.19,0.068666667,47.21002305,205.9962777
Cecropia_sp_OG,OG42,UU2,4182,Cecropia_sp,alive,3357,1.19,0.068666667,47.21002305,205.9962777
Cecropia_sp_OG,OG52,UD3,6022,Cecropia_sp,alive,4613,1.19,0.068666667,47.21002305,205.9962777
Cecropia_sp_young_CR,CR13,FD1,6066,Cecropia_sp,sapling,3866,1.450833333,0.127,43.01861999,191.9332661
Cecropia_sp_young_PR,PR29,UU1,7406,Cecropia_sp,alive,4917,NA,NA,NA,NA
