"Census","Plot","Treatment","Date","Morphotype","Total","Genus","plant_species","Source","DispersalSyndrome","DS_level","DS_source"
2,"PR31","CF","04/08/22","M55",1,"Inga","Inga_ruiziana","blast.sebas.class","zoochory","species","field_observation"
2,"CR09","C","05/08/22","M3",14,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR09","CF","05/08/22","M1",2,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"CR09","CF","05/08/22","M3",5,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR09","D","05/08/22","M1",15,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"CR09","D","05/08/22","M3",2,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR09","D","05/08/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CR09","FD","05/08/22","M1",2,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
2,"CR09","FD","05/08/22","M3",12,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CR09","FD","05/08/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CA63","CF","08/08/22","M3",2,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
2,"CA63","CF","08/08/22","M31",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
2,"CA63","CF","08/08/22","M37",2,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
