"Census","Plot","Treatment","Date","Morphotype","Total","Genus","plant_species","Source","DispersalSyndrome","DS_level","DS_source"
1,"OG46","D","12/07/22","M46",1,"Sciodaphyllum","Sciodaphyllum_pedicillatum","blast.sebas.class","","",""
1,"PR31","C","12/07/22","M4",4,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR31","CF","12/07/22","M4",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"PR31","CF","12/07/22","M37",11,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"PR31","FD","12/07/22","M4",2,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","C","13/07/22","M43",6,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","C","13/07/22","M44",1,"Piper","Piper_grande","blast.sebas.class","zoochory","genus","field_observation"
1,"CR09","C","13/07/22","M44",1,"Piper","Piper_grande","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","CF","13/07/22","M1",4,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","CF","13/07/22","M41",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR09","CF","13/07/22","M42",1,"Coussapoa","Coussapoa_contorta","blast.sebas.class","","",""
1,"CR09","D","13/07/22","M1",1,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","D","13/07/22","M26",1,"Cecropia","Cecropia_garciae","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","D","13/07/22","M41",1,NA,NA,"vsearch.viri.class",NA,NA,NA
1,"CR09","FD","13/07/22","M1",9,"Piper","Piper_pequeina","blast.sebas.class","zoochory","species","field_observation"
1,"CR09","FD","13/07/22","M31",2,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR09","FD","13/07/22","M43",10,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CA63","D","18/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA64","C","18/07/22","M15",1,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA64","C","18/07/22","M43",6,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CA64","CF","18/07/22","M15",8,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA64","CF","18/07/22","M50",25,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"CA64","D","18/07/22","M17",1,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"CA64","D","18/07/22","M43",1,"Banara","Banara_guianensis","blast.sebas.class","zoochory","species","field_observation"
1,"CA64","D","18/07/22","M50",1,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"CA64","FD","18/07/22","M15",8,"Ficus","Ficus_tonduzii","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
1,"CA64","FD","18/07/22","M17",1,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"CA64","FD","18/07/22","M50",4,"Cecropia","Cecropia_insignis","blast.sebas.class","zoochory","species","field_observation"
1,"OG52","CF","18/07/22","M49",1,"Ficus","Ficus_pertusa","blast.sebas.class","zoochory","species","field_observation"
1,"CR14","C","19/07/22","M53",1,"Miconia","Miconia_multiplicata","blast.sebas.class","zoochory","species","field_observation"
1,"CR14","C","19/07/22","M54",1,"Licania","Licania_sp.1","blast.sebas.class","zoochory","genus","field_observation"
1,"CR14","CF","19/07/22","M51",6,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
1,"CR14","D","19/07/22","M17",1,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"CR14","D","19/07/22","M27",3,"Nectandra","Nectandra_paucinervia","blast.sebas.class","zoochory","genus","field_observation"
1,"CR14","D","19/07/22","M51",15,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
1,"CR14","FD","19/07/22","M7",1,"Cordia","Cordia_dwyeri","blast.sebas.class","zoochory","species","Tesis Gustavo Delgado Martínez"
1,"CR14","FD","19/07/22","M17",2,"Pouteria","Pouteria_caimito","blast.sebas.class","zoochory","species","TRY"
1,"CR14","FD","19/07/22","M51",1,"Cecropia","Cecropia_utcubambana","vsearch.viri.class","zoochory","genus","field_observation/fruit morphology"
1,"CR14","FD","19/07/22","M52",6,"Trema","Trema_integerrima","blast.sebas.class","zoochory","genus","field_observation/fruit_morphology"
