"Treatment3","Plot_ID","RegTime","ConIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"regeneration early","CA59",0,-1.72079370622349,1.50576376505696,0.0637406556587017,-1.32371389251067,0.989971605840854,-0.277176243191412,-0.085765507743526,0.650404668755329,-0.594975245310614,0.299999119782601,0.989315315263081,0.434471375222026,0.284087279536822,NA,NA,NA,NA,NA,NA
"regeneration early","CA60",0,-0.424883289281898,1.86056275672646,0.283622606326793,-1.22700039646026,1.00832600846836,-0.228879522207191,0.105484573589525,0.650404668755329,-0.594975245310614,0.299999119782601,1.1127726385355,-0.0448487457803913,-0.248073395580093,1.1300453236363,-1.3901314544779,0.529099361809708,NA,NA,NA
"regeneration early","CA61",0,-0.130380050314442,1.06663191431343,0.0996813938546884,0.157470351450124,0.831076239476741,0.116061357616772,-0.237537303144647,NA,NA,NA,0.985560861972438,-0.348154491227238,-0.104121476717213,NA,NA,NA,NA,NA,NA
"regeneration early","CA62",0,-2.19094050306875,1.53524166500493,-0.123178477045421,-0.550720701973862,1.01348213398125,0.463857507207872,-0.0100078722804916,1.22462989497363,0.161044877847861,-0.589112161748464,0.712742426296499,0.165789279819905,0.158555949394372,NA,NA,NA,NA,NA,NA
"regeneration early","CA63",0,-0.159483417093647,1.91916486532146,0.62121348168986,-0.353871199484544,NA,NA,NA,NA,NA,NA,1.35868290216094,0.281389648218439,0.515114238493478,NA,NA,NA,NA,NA,NA
"regeneration early","CA64",0,-0.434199203017294,0.839614240452349,-0.394656944831214,0.151484311477443,NA,NA,NA,NA,NA,NA,0.813543295648864,-0.137025297875052,0.261827696427441,NA,NA,NA,NA,NA,NA
"regeneration early","CR01",6,-0.0864697980579776,1.11040069974896,-0.0425950565889453,0.00510428229969196,0.989135720371029,-0.843940812729546,0.271632042589316,0.989699676950531,-0.0506210727108423,-0.0157576714238091,0.893705992335753,-0.291301664481125,0.204765229149752,0.692643979405328,-0.228488593883476,-0.419112429224056,NA,NA,NA
"regeneration early","CR02",8,0.600886122541422,1.45597835869101,-0.21257942824031,-0.749078895688283,1.16865356315411,-0.0518500373643806,-0.559987452074321,1.29942320947937,0.111032326830226,-1.31222427701602,0.740568079615388,-0.303409860243675,-0.108081964710793,0.550012300058544,-0.865337144872455,-0.538689419626305,NA,NA,NA
"regeneration early","CR03",5,0.0819444689818166,1.26508525081309,-0.292858641321561,0.480615185771211,1.61973066204539,1.05904765982614,0.710882268800974,0.936608917510534,-0.226886085658437,0.892856614297651,0.721155815921997,-0.241085764868524,0.296373665894344,NA,NA,NA,NA,NA,NA
"regeneration late","CR04",21,0.953503936551346,1.18229059180567,-0.27320769735057,0.155569411022254,1.07534680715171,0.400823368757887,0.202739232275377,1.00156558719079,0.298933176344498,0.309188778449571,0.65287031597304,-0.328904094912932,0.0472259949899684,1.65139226801104,0.124674793707953,1.25521002133482,0.838918253939355,-0.341380502959564,-0.138917158710889
"regeneration early","CR05",12,-1.79490125591236,1.26972888516473,0.310915471859655,0.117792793669937,NA,NA,NA,1.58390220750809,0.145890027656064,-1.59466778245875,0.835073659349423,0.122432142127636,0.0272973362087202,1.2625420433161,0.395400904050616,0.093101389524615,NA,NA,NA
"regeneration late","CR06",33,-1.73218277886945,1.02238326817961,0.404751125294607,0.171755860437226,0.68970955227316,-0.0361105837143511,0.329126627262669,NA,NA,NA,1.01160819621559,-0.00631776698285363,0.0465280386440072,1.36351781512562,1.07227275610698,-0.70519263885076,NA,NA,NA
"regeneration late","CR07",23,-0.373881393972525,0.900119246029193,0.59528324210848,-0.14931523180794,0.521201958332137,-0.547677325494944,0.303594632779669,NA,NA,NA,0.963295115080849,0.0616426086633449,-0.0868827998909587,0.991524130753549,-0.00843036583026872,-0.508005635528069,NA,NA,NA
"regeneration late","CR08",27,-0.295248560314219,1.08116810731492,0.555219022186432,0.353615576583319,1.24751657671742,0.607938646241398,0.00834503573956633,1.39814794610208,0.0882018020665874,-1.1060176828548,1.09841026473346,-0.152901137380385,-0.0815987699634981,0.824804876004601,-0.535915505251346,-0.315107155119262,0.83214074318462,-0.729154866112517,0.582513349104163
"regeneration early","CR09",6,-1.31917759536642,1.54420027527957,0.347615750765088,0.377880174096775,NA,NA,NA,NA,NA,NA,0.810114526815767,-0.314678215125791,-0.290448198786248,0.420542031698121,-0.304575489590719,-0.0563416372287481,NA,NA,NA
"regeneration late","CR10",24,0.891535636789827,1.21120533906809,-0.402065528226944,-0.0181217878143799,0.85176692612958,-0.652254962785583,0.272128513860096,0.414419945346892,-0.103748949708234,0.394581925884267,0.792300520069734,-0.676700377553038,-0.182952823723535,1.29956986995178,0.683583156297407,-0.523663261343523,0.380354923639051,0.125558641937306,-0.231235167137228
"regeneration late","CR11",23,0.744747637971257,1.38362173463736,0.653642430172655,-0.0964940697115552,0.969977313479449,0.176320136797428,-0.0603513464860943,NA,NA,NA,0.837544376563854,-0.114615844032567,-0.226748686161194,1.51582073279637,-0.373010596948806,0.255556844147929,NA,NA,NA
"regeneration late","CR12",15,-0.462844006748104,0.717748026386676,0.283519600964413,0.402368683750617,0.472968099707646,-0.491898082050873,0.315581843258196,NA,NA,NA,0.746757858307646,-0.577904121344702,-0.157987479549917,0.708438751468243,-0.459545402007897,-0.00261462612416075,NA,NA,NA
"regeneration early","CR13",1,-0.0818238514898578,1.55197232758943,0.509885383956503,0.273558924542556,2.07143232341231,0.208517252202473,-1.27814975949778,0.993572448737604,-0.0193430227829327,-1.01284414820737,0.984029747254648,-0.182420656063688,-0.354082251679415,0.946080458765882,-1.02937569037873,0.128994143306839,2.23319200839714,1.09302543924819,-0.666581254308283
"regeneration late","CR14",38,1.09414405647911,1.40578494509618,-0.0641084206793904,0.305457509979539,0.82120372222181,0.158988591057137,0.241662412873661,1.07173969119839,0.0472393080314714,-0.2357364513743,0.776017034893202,-0.65393488326811,0.0672704246479485,1.85479164432428,0.265361361137264,1.67966948941235,0.304372674675551,-0.306596169968338,0.264616071053337
"regeneration early","CR16",8,0.0486689936452982,1.64783721095141,-0.478911577799512,0.0050810526931511,0.962716431657901,-0.26512611266754,-0.164519569857507,NA,NA,NA,0.640141009607153,-0.005940154951674,0.0454196567820931,1.24023628988987,-0.857402683546936,-0.360374832117823,NA,NA,NA
"regeneration early","CR17",9,0.0331361427499817,1.07617697863288,0.132616921678,0.0318173308574412,0.602811005115031,0.482541352933322,0.530247343851188,0.755778734764548,-0.183908558377735,0.283611298763508,0.700888119629853,-0.046808974373949,-0.0440706606762886,1.75229083425539,-0.713934422994337,-0.243920323930678,NA,NA,NA
"regeneration early","CR18",10,0.331708612851554,1.03869526041207,0.379662027366093,0.068442971363613,0.799824209900244,-0.231095807941874,0.0757585569418783,NA,NA,NA,0.844579309972166,-0.0642313232612594,0.011542492301323,0.897447682211239,-0.842130346791511,-0.390914394220898,1.02929635865108,-2.01139056448377,-0.117194725046812
"old-growth forest","OG28",55,-0.0247949236115334,1.48940493823481,-0.843680897712902,0.0870708271873406,0.818343196491667,-0.355618814919332,-0.129588206518555,1.03507794874902,-0.0621114800684015,0.0853939425490835,0.941171336423468,0.0385829227242763,-0.154946357933094,1.93071282828354,1.11045465962084,1.25100621677531,NA,NA,NA
"old-growth forest","OG37",55,0.340396206973629,1.05561293382668,-0.175323215390136,0.614742112068946,0.904093147401739,-0.142435071421331,0.194712809732874,0.842142922928664,-0.0863810052818463,-0.451362352352701,1.32045573080616,-0.335088157555431,0.657598473948726,2.10156963600065,0.187746793847903,0.325340094151622,1.08849341475779,0.0507720878611237,-0.712650549689356
"old-growth forest","OG38",55,1.0854722370435,1.05683567679859,0.456015959439227,0.237509328533876,1.31694177768641,0.763515244899822,0.483656653054175,1.74101963615984,0.107429557219771,-1.9845076769294,1.2937395627933,0.239203909818396,0.145172084664621,0.651322210327797,0.967464665238396,-0.520268238091394,NA,NA,NA
"old-growth forest","OG39",55,1.51809580564338,1.16028226749653,0.546536062275059,0.478920118669319,1.07411230956897,0.390425324106295,0.419690547251154,NA,NA,NA,0.662521346289582,0.0582826969419541,-0.172721925307153,1.34415826586078,0.618082805742064,-0.412860989815529,1.03376062835147,1.30902223103316,0.113027504332877
"old-growth forest","OG40",55,1.5961430300052,1.26146258912762,-0.842846773301193,0.437029441001739,1.47134684972932,0.0794598807836113,-1.02095524849412,NA,NA,NA,1.11609115780653,-0.326034762379925,0.435984496404108,1.93963472093614,0.827704919311904,0.446433782632569,1.98751303987287,-1.03652724602973,1.00720636040066
"old-growth forest","OG41",55,0.894852559959802,1.29551139298701,0.0367533037891812,0.305655645963578,0.852999993576655,0.0928755478629801,-0.217457522394238,NA,NA,NA,0.718230930080431,-0.0786984589498317,-0.360387981195328,1.6436806692087,2.19020863189677,0.506514983760329,0.483846703993219,0.130657559463384,-0.0341016125163477
"old-growth forest","OG42",55,0.450504056521017,1.31452407052547,0.016546234034903,0.382135916830491,0.836862439980632,-0.376584710312019,-0.0159345356775139,1.39429643307136,0.156513697240437,-1.62950762816918,0.868350006030537,-0.326551416009779,-0.212622731783826,1.14984620379226,1.8226106975301,0.682344732722891,0.506079920351265,0.576783948825956,-0.162262432765566
