"animal_species","prLength","bodyLength","wingLength","Genus"
"Echeta_sp_1441",NA,20.49,29.29,"Echeta"
"Echeta_sp_922",NA,14.43,16.5,"Echeta"
"Elysius_nr_disciplaga_2346",10.88,17.12,19.96,"Elysius"
"Elysius_nr_pyrosticta_923",9.28,19.46,24.65,"Elysius"
"Elysius_sp_1359",8.48,19,22.79,"Elysius"
"Elysius_sp_1439",8.48,22.31,26.59,"Elysius"
"Emurena_sp_924",5.53,13.84,16.84,"Emurena"
"Epeiromulona_nr_phelina_1057",2.06,7.56,9.85,"Epeiromulona"
"Epidesma_(cf)_sp_801",5.22,11.94,16.51,"Epidesma"
"Episcepsis_demonis_1133",9.835,13.755,18.76,"Episcepsis"
"Episcepsis_fumata_gr_824",8.655,13.27,18.065,"Episcepsis"
"Episcepsis_luctuosa_802",7.44,14.21,15.58,"Episcepsis"
"Episcepsis_sp_803",5.45,10.64,12.56,"Episcepsis"
"Episcepsis_sp_804",7.06,13.42,16.99,"Episcepsis"
"Episcepsis_sp_850",7.06,14.45,17.03,"Episcepsis"
"Episcepsis_thetis_gr_2151",7.1,13.745,15.215,"Episcepsis"
"Episcepsis_venata_1141",7.06,12.405,12.675,"Episcepsis"
"Eucereon_cf_pseudarchias_1217",7.27,14.645,18.21,"Eucereon"
"Eucereon_cf_rogersi_1439",7.27,12.82,18.14,"Eucereon"
"Eucereon_cf_rosa_811",7.27,9.77,11.805,"Eucereon"
"Eucereon_nr_tarona_616",9.59,12.34,16.1766666666667,"Eucereon"
"Eucereon_nr_tarona_808",9.25,12.975,15.5575,"Eucereon"
"Eucereon_sp_1366",7.27,9.38,11.855,"Eucereon"
"Eucereon_sp_806",6.82,14.03,16.03,"Eucereon"
"Eucereon_sp_807",8.94,14.37,16.175,"Eucereon"
"Eucereon_sp_809",8.41,16.35,19.215,"Eucereon"
"Eucereon_sp_812",6.82,10.47,13.235,"Eucereon"
"Eucereon_sp_813",4.95,11.3725,14.26,"Eucereon"
"Eucereon_sp_815",7.27,14.1,17.795,"Eucereon"
"Eucereon_sp_821",7.27,10.12,11.285,"Eucereon"
"Eucereon_sp_822",7.27,11.7566666666667,14.7466666666667,"Eucereon"
"Eudoliche_nr_longa_874",5.89,7.9075,10.095,"Eudoliche"
"Eupseudosoma_(Idalus)_nr_involuta_935",10.06,17.875,20.585,"Eupseudosoma"
"Euthyone_cf_simplex_877",1.33333333333333,6.53,9.6375,"Euthyone"
"Euthyone_sp_1424",1.33,2.6,7.39,"Euthyone"
"Euthyone_sp_875",1.33,6.75,8.29,"Euthyone"
"Euthyone_sp_876",1.355,6.445,7.8,"Euthyone"
"Evius_cochenouri_925",7.9,12.465,15.98,"Evius"
"Evius_hippia_926",8.01,13.205,14.815,"Evius"
"Evius_sp_927",6.36,10.45,13.31,"Evius"
"Flammeus_betzi_1402",6.85,11.69,14.6,"Flammeus"
"Flammeus_sp_810",9.86,15.605,18.885,"Flammeus"
"Galethalea_sp_825",NA,15.48,18.03,"Galethalea"
"Gardinia_nr_magnifica_878",9.53,17.78,26.2,"Gardinia"
"Gorgonidia_buckleyi_928",12.89,20.52,24.88,"Gorgonidia"
"Gymnelia_(cf)_sp_827",6.32,8.345,13.375,"Gymnelia"
"Gymnelia_sp_1418",6.32,12.8,15.47,"Gymnelia"
"Gymnelia_sp_826",6.32,13.1666666666667,15.7633333333333,"Gymnelia"
"Haemanota_sp_1196",10.3,15.695,16.235,"Haemanota"
"Halysidota_schausi_929",13.29,20.62,26.29,"Halysidota"
"Halysidota_sp_930",12,17.69,22.81,"Halysidota"
"Halysidota_sp_931",10.58,15.95,20.785,"Halysidota"
"Heliactinidia_sitia_901",1.73,10.7675,14.59,"Heliactinidia"
"Heliura_nr_zonata_829",7.99,11.9725,14.0075,"Heliura"
"Heliura_sp_823",8.48,11.28,13.38,"Heliura"
"Heliura_sp_828",8.48,13.38,16.225,"Heliura"
"Hyalurga_fenestra_1006",NA,21.15,26.61,"Hyalurga"
"Hypercompe_nr_leucarctioides_1010",4.1,20.95,20.49,"Hypercompe"
"Hypercompe_nr_muzina_765",3.86666666666667,18.5133333333333,24.87,"Hypercompe"
"Hypercompe_sp_996",4.54,19.72,23.29,"Hypercompe"
"Hypocrita_nr_chalybea_903",11.705,20.15,27.8733333333333,"Hypocrita"
"Hypocrita_phanoptoides_904",10.76,25.46,33.7,"Hypocrita"
