"Treatment3","Plot_ID","RegTime","ConIndex","StrIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"regeneration early","CA59",0,-1.72079370622349,-1.39094165055671,1.43562514714725,-0.0378046388661624,1.16733361616531,0.942891844580107,-0.286520187571344,0.0358039441969854,0.633495010657202,-0.536669357981382,-0.356699359593959,1.31208339770095,0.728931631957834,0.579384113365129,NA,NA,NA,NA,NA,NA
"regeneration early","CA60",0,-0.424883289281899,-0.605883376179156,1.77691980931814,0.165384548368663,1.06719864951278,0.975281619746271,-0.208753613414737,-0.183138543268751,NA,NA,NA,0.491011245242487,-0.430139193666084,0.308282918661893,1.09944636961069,-1.42526002755607,0.38125270737438,NA,NA,NA
"regeneration early","CA61",0,-0.130380050314442,-1.4830066059015,1.03703918963965,0.215084847088989,-0.224587936890508,0.904941224498889,0.0381796356855839,0.439474781703478,NA,NA,NA,2.94864951502457,0.320393409306376,-2.87616781843813,NA,NA,NA,NA,NA,NA
"regeneration early","CA62",0,-2.19094050306875,-0.903817750573382,1.50880898616658,-0.18898429443288,0.427257888340455,0.967150658618611,0.454639234839747,0.0122622887341275,1.21700595834319,0.0610373208065087,0.621161331414265,0.715527115514743,0.245962606919115,0.0860467766484591,NA,NA,NA,NA,NA,NA
"regeneration early","CA63",0,-0.159483417093648,-1.80773038400467,1.92449408033778,0.678375766169304,0.449457467582822,NA,NA,NA,NA,NA,NA,1.87548052738626,1.44557307956676,0.900547975247664,NA,NA,NA,NA,NA,NA
"regeneration early","CA64",0,-0.434199203017294,-1.93432062638235,0.803772346832226,-0.315879162831541,-0.238375984068999,NA,NA,NA,NA,NA,NA,0.858530223840599,-0.343353927030014,0.10828242688604,NA,NA,NA,NA,NA,NA
"regeneration early","CR01",6,-0.0864697980579782,-0.292583880103162,1.07427412134564,0.0467957502708596,-0.0741024198917321,1.04219872265588,-0.859241110113103,-0.409242274231586,0.96835825873292,-0.0643284138833822,0.0318784005247675,0.684588866823101,-0.18650798743424,-0.119842058982415,0.645263159736343,-0.280266385195239,-0.457281171776943,NA,NA,NA
"regeneration early","CR02",8,0.600886122541422,-0.101646849522465,1.35711105823978,-0.369157590424474,0.646275850637716,1.13121318710446,-0.105132352706022,0.491264510378472,0.62627999903788,-0.116426548269808,0.653545303594593,NA,NA,NA,0.508363905616351,-0.840570125520021,-0.616361727771089,NA,NA,NA
"regeneration early","CR03",5,0.0819444689818163,-0.559476533441805,1.23080011560329,-0.37948632992908,-0.562267166997896,1.55304769000363,1.10916610944504,-0.529890962058857,0.940966928092191,-0.0942355362859894,-0.904471031547975,0.708115890520656,-0.358587988180465,0.28712134451884,NA,NA,NA,NA,NA,NA
"regeneration late","CR04",21,0.953503936551348,0.236033375911873,1.1666037236633,-0.158680772120783,-0.259739794996641,1.02563772560752,0.409534012319073,-0.146446472815577,0.99645964686155,0.320581180602299,-0.257964851175193,0.71460364099502,-0.49898986068683,-0.0360577612103082,1.55446786641379,-0.0689283653113914,1.17173773659178,0.838246569226948,-0.313517425607137,-0.20965969927016
