"Treatment3","Plot_ID","RegTime","ConIndex","StrIndex","FDBees","FC1Bees","FC2Bees","FDMoths","FC1Moths","FC2Moths","FDBat_pol","FC1Bat_pol","FC2Bat_pol","FDBats","FC1Bats","FC2Bats","FDBirds","FC1Birds","FC2Birds","FDNf","FC1Nf","FC2Nf"
"regeneration early","CA59",0,-1.72079370622349,-1.39094165055671,1.43562514714725,-0.0378046388661653,1.1673336161653,0.942891844580107,-0.286520187571344,0.035803944196985,0.633495010657201,-0.536669357981381,-0.35669935959396,1.31208339770095,0.728931631957834,0.579384113365129,NA,NA,NA,NA,NA,NA
"regeneration early","CA60",0,-0.424883289281899,-0.605883376179156,1.77691980931814,0.165384548368661,1.06719864951278,0.975281619746271,-0.208753613414737,-0.183138543268751,NA,NA,NA,0.491011245242487,-0.430139193666085,0.308282918661893,1.09944636961069,-1.42526002755607,0.38125270737438,NA,NA,NA
"regeneration early","CA61",0,-0.130380050314442,-1.4830066059015,1.03703918963965,0.215084847088989,-0.224587936890508,0.904941224498889,0.0381796356855828,0.439474781703478,NA,NA,NA,2.94864951502457,0.320393409306376,-2.87616781843813,NA,NA,NA,NA,NA,NA
"regeneration early","CA62",0,-2.19094050306875,-0.903817750573382,1.50880898616658,-0.188984294432881,0.427257888340454,0.967150658618611,0.454639234839747,0.0122622887341284,1.21700595834319,0.0610373208065081,0.621161331414266,0.715527115514743,0.245962606919114,0.0860467766484593,NA,NA,NA,NA,NA,NA
"regeneration early","CA63",0,-0.159483417093648,-1.80773038400467,1.92449408033778,0.678375766169303,0.449457467582824,NA,NA,NA,NA,NA,NA,1.87548052738626,1.44557307956676,0.900547975247665,NA,NA,NA,NA,NA,NA
"regeneration early","CA64",0,-0.434199203017294,-1.93432062638235,0.803772346832226,-0.315879162831541,-0.238375984069,NA,NA,NA,NA,NA,NA,0.858530223840599,-0.343353927030014,0.10828242688604,NA,NA,NA,NA,NA,NA
"regeneration early","CR01",6,-0.0864697980579782,-0.292583880103162,1.07427412134564,0.0467957502708596,-0.0741024198917321,1.04219872265588,-0.859241110113102,-0.409242274231588,0.968358258732921,-0.064328413883383,0.0318784005247671,0.684588866823101,-0.18650798743424,-0.119842058982415,0.645263159736343,-0.280266385195239,-0.457281171776943,NA,NA,NA
"regeneration early","CR02",8,0.600886122541422,-0.101646849522465,1.35711105823978,-0.369157590424476,0.646275850637715,1.13121318710446,-0.105132352706023,0.491264510378472,0.62627999903788,-0.116426548269811,0.653545303594593,NA,NA,NA,0.508363905616351,-0.840570125520021,-0.616361727771089,NA,NA,NA
"regeneration early","CR03",5,0.0819444689818163,-0.559476533441805,1.23080011560329,-0.379486329929079,-0.562267166997897,1.55304769000363,1.10916610944504,-0.529890962058855,0.940966928092192,-0.0942355362859875,-0.904471031547975,0.708115890520656,-0.358587988180465,0.28712134451884,NA,NA,NA,NA,NA,NA
"regeneration late","CR04",21,0.953503936551348,0.236033375911873,1.1666037236633,-0.158680772120782,-0.259739794996642,1.02563772560752,0.409534012319073,-0.146446472815576,0.99645964686155,0.320581180602298,-0.257964851175193,0.71460364099502,-0.498989860686829,-0.0360577612103083,1.55446786641379,-0.0689283653113914,1.17173773659178,0.838246569226948,-0.313517425607137,-0.20965969927016
"regeneration early","CR05",12,-1.79490125591236,-0.252882283903603,0.969149212310417,-0.0336126214662526,0.0602243733631367,NA,NA,NA,1.56216843105923,-0.117631688177441,1.59169062158587,1.14749803050988,0.212241508886369,0.0414344099350893,1.25697801238731,0.260281152155984,0.12439878224633,NA,NA,NA
"regeneration late","CR06",33,-1.73218277886945,0.795783313223836,1.00671334626851,0.518441228440466,-0.130787964437698,0.720926482864099,-0.0289603369441418,-0.325960430068865,NA,NA,NA,1.34011071394804,-0.133182344842309,0.0763304396704938,1.24214762848302,0.936639416582271,-0.650444066564998,NA,NA,NA
"regeneration late","CR07",23,-0.373881393972526,0.325037319377057,0.845815274129965,0.663288228732956,0.155461030350285,0.493194693939192,-0.489013981675202,-0.358734639906937,NA,NA,NA,1.13806578558461,0.465974368152578,-0.535437186416595,0.971839911580086,-0.0793239606388318,-0.527677814549541,NA,NA,NA
"regeneration late","CR08",27,-0.29524856031422,0.533721846719812,1.18345733215039,0.730821248082221,-0.33370749282719,1.26898538919803,0.689396031116192,0.0834512158849488,1.37998104859573,-0.0839911685746456,1.10708214865249,1.50622188889507,0.516729046290008,0.209361396266277,0.826296329568584,-0.537846210136373,-0.348290095400097,0.812457078630088,-0.730036172046022,0.516256257275817
"regeneration early","CR09",6,-1.31917759536642,0.0484734337720959,1.41330481058383,-0.259450272231343,-0.244972514586979,NA,NA,NA,NA,NA,NA,1.16822023153922,-0.531726414615057,-0.991434076477762,0.210375010323648,-0.697895902994434,-0.387465318832775,NA,NA,NA
"regeneration late","CR10",24,0.891535636789829,0.526198840419044,1.2632344076721,-0.473616009804493,-0.110433787208906,0.824419407203656,-0.591876134536725,-0.375611863021538,0.402967059435604,-0.0630450985623127,-0.383511879123784,0.772047375912345,0.142969041811602,-0.877711567713571,1.22927631094286,0.520218704722429,-0.447739459733329,0.365687392900454,0.131992001612598,-0.23751589350783
