"index","group","prctg"
1,"Bees",0.744736842105263
2,"Moths",0.457894736842105
3,"Bats_pol",0.0947368421052632
4,"Bats",0.426356589147287
5,"Birds",0.51937984496124
6,"NF",0.310077519379845
