"Plot_ID","taxon","animal_species","plant_species","type","unit","RegTime","Treatment2","method","Treatment3"
"OG51","Rodentia","Cuniculus_paca","Brosimum_utile","Swallowed","fruit",55,"old-growth forest","camera_trap","old-growth forest"
"OG51","Rodentia","Proechimys_semispinosus","Brosimum_utile","CarriedAway","fruit",55,"old-growth forest","camera_trap","old-growth forest"
"OG52","Rodentia","Proechimys_semispinosus","Brosimum_utile","CarriedAway","fruit",55,"old-growth forest","camera_trap","old-growth forest"
"OG52","Rodentia","Heteromys_australis","Brosimum_utile","CarriedAway","fruit",55,"old-growth forest","camera_trap","old-growth forest"
"OG52","Rodentia","Dasyprocta_punctata","Brosimum_utile","Bitten","fruit",55,"old-growth forest","camera_trap","old-growth forest"
"OG52","Rodentia","Trasandinomys_sp","Brosimum_utile","Dropped","fruit",55,"old-growth forest","camera_trap","old-growth forest"
"PA57","Rodentia","Heteromys_australis","Wettinia_quinaria","Swallowed","seed",0,"active pasture","camera_trap","regeneration early"
"PR19","Rodentia","Proechimys_semispinosus","Miconia_'grande'","Swallowed","fruit",6,"pasture regeneration early","camera_trap","regeneration early"
"PR19","Rodentia","Trasandinomys_sp","Miconia_'grande'","Swallowed","fruit",6,"pasture regeneration early","camera_trap","regeneration early"
"PR21","Artiodactyla","Tayassu_pecari","Wettinia_quinaria","Bitten","seed",36,"pasture regeneration late","camera_trap","regeneration late"
"PR21","Artiodactyla","Tayassu_pecari","A-PR2101","Swallowed","fruit",36,"pasture regeneration late","camera_trap","regeneration late"
"PR24","Rodentia","Hoplomys_gymnurus","Meliosma_herbertii","Bitten","fruit",21,"pasture regeneration late","camera_trap","regeneration late"
"PR24","Rodentia","Hoplomys_gymnurus","Allophylus_angustatus","Bitten","fruit",21,"pasture regeneration late","camera_trap","regeneration late"
"PR24","Rodentia","Hoplomys_gymnurus","Wettinia_quinaria","Bitten","seed",21,"pasture regeneration late","camera_trap","regeneration late"
"PR31","Rodentia","Proechimys_semispinosus","Ficus_maxima","CarriedAway","fruit",16,"pasture regeneration late","camera_trap","regeneration late"
"PR34","Rodentia","Notosciurus_granatensis","Eugenia_multirimosa","Bitten","fruit",38,"pasture regeneration late","camera_trap","regeneration late"
